region,region_group,age_group,population
Seoul_종로구,Region_A,0-18,13019
Seoul_종로구,Region_A,19-49,59239
Seoul_종로구,Region_A,50-64,33514
Seoul_종로구,Region_A,65+,31045
Seoul_중구,Region_A,0-18,9924
Seoul_중구,Region_A,19-49,53721
Seoul_중구,Region_A,50-64,26620
Seoul_중구,Region_A,65+,27497
Seoul_용산구,Region_A,0-18,20968
Seoul_용산구,Region_A,19-49,93507
Seoul_용산구,Region_A,50-64,46264
Seoul_용산구,Region_A,65+,40223
Seoul_성동구,Region_A,0-18,30634
Seoul_성동구,Region_A,19-49,127895
Seoul_성동구,Region_A,50-64,62556
Seoul_성동구,Region_A,65+,54008
Seoul_광진구,Region_A,0-18,33564
Seoul_광진구,Region_A,19-49,159977
Seoul_광진구,Region_A,50-64,74346
Seoul_광진구,Region_A,65+,63236
Seoul_동대문구,Region_A,0-18,37956
Seoul_동대문구,Region_A,19-49,162634
Seoul_동대문구,Region_A,50-64,77187
Seoul_동대문구,Region_A,65+,73765
Seoul_중랑구,Region_A,0-18,36729
Seoul_중랑구,Region_A,19-49,156573
Seoul_중랑구,Region_A,50-64,93834
Seoul_중랑구,Region_A,65+,89529
Seoul_성북구,Region_A,0-18,51017
Seoul_성북구,Region_A,19-49,183074
Seoul_성북구,Region_A,50-64,100279
Seoul_성북구,Region_A,65+,88408
Seoul_강북구,Region_A,0-18,25045
Seoul_강북구,Region_A,19-49,106415
Seoul_강북구,Region_A,50-64,72128
Seoul_강북구,Region_A,65+,75198
Seoul_도봉구,Region_A,0-18,30303
Seoul_도봉구,Region_A,19-49,111580
Seoul_도봉구,Region_A,50-64,77744
Seoul_도봉구,Region_A,65+,79438
Seoul_노원구,Region_A,0-18,61511
Seoul_노원구,Region_A,19-49,195355
Seoul_노원구,Region_A,50-64,119520
Seoul_노원구,Region_A,65+,106101
Seoul_은평구,Region_A,0-18,49663
Seoul_은평구,Region_A,19-49,189597
Seoul_은평구,Region_A,50-64,111113
Seoul_은평구,Region_A,65+,103736
Seoul_서대문구,Region_A,0-18,34152
Seoul_서대문구,Region_A,19-49,134696
Seoul_서대문구,Region_A,50-64,68940
Seoul_서대문구,Region_A,65+,62806
Seoul_마포구,Region_A,0-18,40819
Seoul_마포구,Region_A,19-49,175819
Seoul_마포구,Region_A,50-64,77918
Seoul_마포구,Region_A,65+,62410
Seoul_양천구,Region_A,0-18,64329
Seoul_양천구,Region_A,19-49,170678
Seoul_양천구,Region_A,50-64,102941
Seoul_양천구,Region_A,65+,85718
Seoul_강서구,Region_A,0-18,62034
Seoul_강서구,Region_A,19-49,252428
Seoul_강서구,Region_A,50-64,119601
Seoul_강서구,Region_A,65+,114922
Seoul_구로구,Region_A,0-18,43303
Seoul_구로구,Region_A,19-49,163992
Seoul_구로구,Region_A,50-64,88404
Seoul_구로구,Region_A,65+,87137
Seoul_금천구,Region_A,0-18,18698
Seoul_금천구,Region_A,19-49,99879
Seoul_금천구,Region_A,50-64,53742
Seoul_금천구,Region_A,65+,50393
Seoul_영등포구,Region_A,0-18,39409
Seoul_영등포구,Region_A,19-49,181005
Seoul_영등포구,Region_A,50-64,78595
Seoul_영등포구,Region_A,65+,72168
Seoul_동작구,Region_A,0-18,38978
Seoul_동작구,Region_A,19-49,175294
Seoul_동작구,Region_A,50-64,81507
Seoul_동작구,Region_A,65+,76457
Seoul_관악구,Region_A,0-18,33801
Seoul_관악구,Region_A,19-49,257184
Seoul_관악구,Region_A,50-64,94244
Seoul_관악구,Region_A,65+,93239
Seoul_서초구,Region_A,0-18,67905
Seoul_서초구,Region_A,19-49,180849
Seoul_서초구,Region_A,50-64,93568
Seoul_서초구,Region_A,65+,73218
Seoul_강남구,Region_A,0-18,89677
Seoul_강남구,Region_A,19-49,247198
Seoul_강남구,Region_A,50-64,120634
Seoul_강남구,Region_A,65+,96656
Seoul_송파구,Region_A,0-18,92049
Seoul_송파구,Region_A,19-49,292933
Seoul_송파구,Region_A,50-64,143345
Seoul_송파구,Region_A,65+,121744
Seoul_강동구,Region_A,0-18,71713
Seoul_강동구,Region_A,19-49,217867
Seoul_강동구,Region_A,50-64,110686
Seoul_강동구,Region_A,65+,99529
Wonju_문막읍,Region_B,0-18,1809
Wonju_문막읍,Region_B,19-49,5513
Wonju_문막읍,Region_B,50-64,4973
Wonju_문막읍,Region_B,65+,4534
Wonju_소초면,Region_B,0-18,476
Wonju_소초면,Region_B,19-49,2101
Wonju_소초면,Region_B,50-64,2315
Wonju_소초면,Region_B,65+,2929
Wonju_호저면,Region_B,0-18,162
Wonju_호저면,Region_B,19-49,592
Wonju_호저면,Region_B,50-64,921
Wonju_호저면,Region_B,65+,1512
Wonju_지정면,Region_B,0-18,8255
Wonju_지정면,Region_B,19-49,15960
Wonju_지정면,Region_B,50-64,5412
Wonju_지정면,Region_B,65+,3357
Wonju_부론면,Region_B,0-18,93
Wonju_부론면,Region_B,19-49,335
Wonju_부론면,Region_B,50-64,540
Wonju_부론면,Region_B,65+,1164
Wonju_귀래면,Region_B,0-18,85
Wonju_귀래면,Region_B,19-49,278
Wonju_귀래면,Region_B,50-64,614
Wonju_귀래면,Region_B,65+,1065
Wonju_흥업면,Region_B,0-18,913
Wonju_흥업면,Region_B,19-49,3460
Wonju_흥업면,Region_B,50-64,2487
Wonju_흥업면,Region_B,65+,2600
Wonju_판부면,Region_B,0-18,879
Wonju_판부면,Region_B,19-49,3028
Wonju_판부면,Region_B,50-64,2249
Wonju_판부면,Region_B,65+,1585
Wonju_신림면,Region_B,0-18,141
Wonju_신림면,Region_B,19-49,501
Wonju_신림면,Region_B,50-64,1109
Wonju_신림면,Region_B,65+,1764
Wonju_중앙동,Region_B,0-18,84
Wonju_중앙동,Region_B,19-49,379
Wonju_중앙동,Region_B,50-64,601
Wonju_중앙동,Region_B,65+,1003
Wonju_원인동,Region_B,0-18,399
Wonju_원인동,Region_B,19-49,1532
Wonju_원인동,Region_B,50-64,1150
Wonju_원인동,Region_B,65+,1191
Wonju_개운동,Region_B,0-18,1254
Wonju_개운동,Region_B,19-49,3633
Wonju_개운동,Region_B,50-64,3256
Wonju_개운동,Region_B,65+,3354
Wonju_명륜1동,Region_B,0-18,700
Wonju_명륜1동,Region_B,19-49,2246
Wonju_명륜1동,Region_B,50-64,2124
Wonju_명륜1동,Region_B,65+,2385
Wonju_명륜2동,Region_B,0-18,2455
Wonju_명륜2동,Region_B,19-49,6644
Wonju_명륜2동,Region_B,50-64,4814
Wonju_명륜2동,Region_B,65+,3898
Wonju_단구동,Region_B,0-18,5732
Wonju_단구동,Region_B,19-49,16788
Wonju_단구동,Region_B,50-64,11076
Wonju_단구동,Region_B,65+,7136
Wonju_일산동,Region_B,0-18,659
Wonju_일산동,Region_B,19-49,3202
Wonju_일산동,Region_B,50-64,1847
Wonju_일산동,Region_B,65+,2288
Wonju_학성동,Region_B,0-18,266
Wonju_학성동,Region_B,19-49,1127
Wonju_학성동,Region_B,50-64,1151
Wonju_학성동,Region_B,65+,1518
Wonju_단계동,Region_B,0-18,3367
Wonju_단계동,Region_B,19-49,10757
Wonju_단계동,Region_B,50-64,6951
Wonju_단계동,Region_B,65+,5396
Wonju_우산동,Region_B,0-18,1627
Wonju_우산동,Region_B,19-49,5141
Wonju_우산동,Region_B,50-64,3324
Wonju_우산동,Region_B,65+,2820
Wonju_태장1동,Region_B,0-18,1795
Wonju_태장1동,Region_B,19-49,4585
Wonju_태장1동,Region_B,50-64,3135
Wonju_태장1동,Region_B,65+,2792
Wonju_태장2동,Region_B,0-18,3121
Wonju_태장2동,Region_B,19-49,8569
Wonju_태장2동,Region_B,50-64,6876
Wonju_태장2동,Region_B,65+,5638
Wonju_봉산동,Region_B,0-18,532
Wonju_봉산동,Region_B,19-49,1823
Wonju_봉산동,Region_B,50-64,2028
Wonju_봉산동,Region_B,65+,2627
Wonju_행구동,Region_B,0-18,1154
Wonju_행구동,Region_B,19-49,2829
Wonju_행구동,Region_B,50-64,2403
Wonju_행구동,Region_B,65+,1932
Wonju_무실동,Region_B,0-18,7603
Wonju_무실동,Region_B,19-49,16807
Wonju_무실동,Region_B,50-64,8770
Wonju_무실동,Region_B,65+,5336
Wonju_반곡관설동,Region_B,0-18,11125
Wonju_반곡관설동,Region_B,19-49,24246
Wonju_반곡관설동,Region_B,50-64,11903
Wonju_반곡관설동,Region_B,65+,5285
