date_or_day,source_region,source_age_group,target_region,target_age_group,flow_first,flow_reinfection,flow_total
day_1,Seoul,0-18,Seoul,0-18,17.04876921018936,0.0,17.04876921018936
day_1,Seoul,0-18,Seoul,19-49,13.366660739579883,0.0,13.366660739579883
day_1,Seoul,0-18,Seoul,50-64,2.2540981377949456,0.0,2.2540981377949456
day_1,Seoul,0-18,Seoul,65+,0.7827976170019634,0.0,0.7827976170019634
day_1,Seoul,0-18,Wonju,0-18,0.0,0.0,0.0
day_1,Seoul,0-18,Wonju,19-49,0.0,0.0,0.0
day_1,Seoul,0-18,Wonju,50-64,0.0,0.0,0.0
day_1,Seoul,0-18,Wonju,65+,0.0,0.0,0.0
day_1,Seoul,19-49,Seoul,0-18,9.91984328625867,0.0,9.91984328625867
day_1,Seoul,19-49,Seoul,19-49,35.05219977795421,0.0,35.05219977795421
day_1,Seoul,19-49,Seoul,50-64,13.883195348691595,0.0,13.883195348691595
day_1,Seoul,19-49,Seoul,65+,7.497973253048217,0.0,7.497973253048217
day_1,Seoul,19-49,Wonju,0-18,0.0,0.0,0.0
day_1,Seoul,19-49,Wonju,19-49,0.0,0.0,0.0
day_1,Seoul,19-49,Wonju,50-64,0.0,0.0,0.0
day_1,Seoul,19-49,Wonju,65+,0.0,0.0,0.0
day_1,Seoul,50-64,Seoul,0-18,1.9646300172607998,0.0,1.9646300172607998
day_1,Seoul,50-64,Seoul,19-49,16.305665647537197,0.0,16.305665647537197
day_1,Seoul,50-64,Seoul,50-64,15.385927440554896,0.0,15.385927440554896
day_1,Seoul,50-64,Seoul,65+,10.09194967017237,0.0,10.09194967017237
day_1,Seoul,50-64,Wonju,0-18,0.0,0.0,0.0
day_1,Seoul,50-64,Wonju,19-49,0.0,0.0,0.0
day_1,Seoul,50-64,Wonju,50-64,0.0,0.0,0.0
day_1,Seoul,50-64,Wonju,65+,0.0,0.0,0.0
day_1,Seoul,65+,Seoul,0-18,0.5581834724655965,0.0,0.5581834724655965
day_1,Seoul,65+,Seoul,19-49,7.206373616121327,0.0,7.206373616121327
day_1,Seoul,65+,Seoul,50-64,8.256488254726186,0.0,8.256488254726186
day_1,Seoul,65+,Seoul,65+,22.639735001527374,0.0,22.639735001527374
day_1,Seoul,65+,Wonju,0-18,0.0,0.0,0.0
day_1,Seoul,65+,Wonju,19-49,0.0,0.0,0.0
day_1,Seoul,65+,Wonju,50-64,0.0,0.0,0.0
day_1,Seoul,65+,Wonju,65+,0.0,0.0,0.0
day_1,Wonju,0-18,Seoul,0-18,0.0,0.0,0.0
day_1,Wonju,0-18,Seoul,19-49,0.0,0.0,0.0
day_1,Wonju,0-18,Seoul,50-64,0.0,0.0,0.0
day_1,Wonju,0-18,Seoul,65+,0.0,0.0,0.0
day_1,Wonju,0-18,Wonju,0-18,0.8499786777260799,0.0,0.8499786777260799
day_1,Wonju,0-18,Wonju,19-49,0.4577698519105142,0.0,0.4577698519105142
day_1,Wonju,0-18,Wonju,50-64,0.09736733893010066,0.0,0.09736733893010066
day_1,Wonju,0-18,Wonju,65+,0.030387740104272833,0.0,0.030387740104272833
day_1,Wonju,19-49,Seoul,0-18,0.0,0.0,0.0
day_1,Wonju,19-49,Seoul,19-49,0.0,0.0,0.0
day_1,Wonju,19-49,Seoul,50-64,0.0,0.0,0.0
day_1,Wonju,19-49,Seoul,65+,0.0,0.0,0.0
day_1,Wonju,19-49,Wonju,0-18,0.49456093725902617,0.0,0.49456093725902617
day_1,Wonju,19-49,Wonju,19-49,1.2004374625876963,0.0,1.2004374625876963
day_1,Wonju,19-49,Wonju,50-64,0.5996942920467563,0.0,0.5996942920467563
day_1,Wonju,19-49,Wonju,65+,0.29106688315563295,0.0,0.29106688315563295
day_1,Wonju,50-64,Seoul,0-18,0.0,0.0,0.0
day_1,Wonju,50-64,Seoul,19-49,0.0,0.0,0.0
day_1,Wonju,50-64,Seoul,50-64,0.0,0.0,0.0
day_1,Wonju,50-64,Seoul,65+,0.0,0.0,0.0
day_1,Wonju,50-64,Wonju,0-18,0.09794804561576637,0.0,0.09794804561576637
day_1,Wonju,50-64,Wonju,19-49,0.5584223535107142,0.0,0.5584223535107142
day_1,Wonju,50-64,Wonju,50-64,0.66460585133349,0.0,0.66460585133349
day_1,Wonju,50-64,Wonju,65+,0.39176351212861543,0.0,0.39176351212861543
day_1,Wonju,65+,Seoul,0-18,0.0,0.0,0.0
day_1,Wonju,65+,Seoul,19-49,0.0,0.0,0.0
day_1,Wonju,65+,Seoul,50-64,0.0,0.0,0.0
day_1,Wonju,65+,Seoul,65+,0.0,0.0,0.0
day_1,Wonju,65+,Wonju,0-18,0.02782863935839447,0.0,0.02782863935839447
day_1,Wonju,65+,Wonju,19-49,0.24679765929088593,0.0,0.24679765929088593
day_1,Wonju,65+,Wonju,50-64,0.3566447603992702,0.0,0.3566447603992702
