date_or_day,region,age_group,S0,E0,I0,R,S1,E1,I1,active_I,susceptible_total,population
initial_state,Seoul,0-18,1098801.1089,0.0,109.89110000000001,0.0,0.0,0.0,0.0,109.89110000000001,1098801.1089,1098911.0
initial_state,Seoul,19-49,4151172.8412,0.0,415.15880000000004,0.0,0.0,0.0,0.0,415.15880000000004,4151172.8412,4151588.0
initial_state,Seoul,50-64,2134582.5204,0.0,213.4796,0.0,0.0,0.0,0.0,213.4796,2134582.5204,2134796.0
initial_state,Seoul,65+,1918642.1166,0.0,191.88340000000002,0.0,0.0,0.0,0.0,191.88340000000002,1918642.1166,1918834.0
initial_state,Wonju,0-18,54781.5213,0.0,5.4787,0.0,0.0,0.0,0.0,5.4787,54781.5213,54787.0
initial_state,Wonju,19-49,142165.782,0.0,14.218,0.0,0.0,0.0,0.0,14.218,142165.782,142180.0
initial_state,Wonju,50-64,92204.7786,0.0,9.221400000000001,0.0,0.0,0.0,0.0,9.221400000000001,92204.7786,92214.0
initial_state,Wonju,65+,74480.5512,0.0,7.4488,0.0,0.0,0.0,0.0,7.4488,74480.5512,74488.0
day_1,Seoul,0-18,1098771.617474014,29.49142598617442,87.91288,21.978220000000004,0.0,0.0,0.0,87.91288,1098771.617474014,1098911.0
day_1,Seoul,19-49,4151100.9103002185,71.93089978119261,332.12704,83.03176000000002,0.0,0.0,0.0,332.12704,4151100.9103002185,4151588.0
day_1,Seoul,50-64,2134542.7406908185,39.77970918176762,170.78368,42.69592,0.0,0.0,0.0,170.78368,2134542.7406908185,2134796.0
day_1,Seoul,65+,1918601.1041444584,41.01245554174993,153.50672000000003,38.37668000000001,0.0,0.0,0.0,153.50672000000003,1918601.1041444584,1918834.0
day_1,Wonju,0-18,54780.05098370004,1.4703162999592667,4.38296,1.09574,0.0,0.0,0.0,4.38296,54780.05098370004,54787.0
day_1,Wonju,19-49,142163.3185726727,2.4634273272998106,11.3744,2.8436000000000003,0.0,0.0,0.0,11.3744,142163.3185726727,142180.0
day_1,Wonju,50-64,92203.06028775728,1.7183122427096171,7.377120000000001,1.8442800000000004,0.0,0.0,0.0,7.377120000000001,92203.06028775728,92214.0
day_1,Wonju,65+,74478.95912075376,1.5920792462473923,5.95904,1.4897600000000002,0.0,0.0,0.0,5.95904,74478.95912075376,74488.0
day_2,Seoul,0-18,1098748.0249031342,38.33828387279854,85.07601699308721,39.560796,0.0,0.0,0.0,85.07601699308721,1098748.0249031342,1098911.0
day_2,Seoul,19-49,4151043.3664778084,93.50927230106662,301.6670818905963,149.45716800000002,0.0,0.0,0.0,301.6670818905963,4151043.3664778084,4151588.0
day_2,Seoul,50-64,2134510.91745723,51.71308817970427,156.5167985908838,76.852656,0.0,0.0,0.0,156.5167985908838,2134510.91745723,2134796.0
day_2,Seoul,65+,1918568.2948112304,53.315560998864875,143.311603770875,69.07802400000001,0.0,0.0,0.0,143.311603770875,1918568.2948112304,1918834.0
day_2,Wonju,0-18,54778.87475907331,1.911382776711684,4.241526149979633,1.972332,0.0,0.0,0.0,4.241526149979633,54778.87475907331,54787.0
day_2,Wonju,19-49,142161.34786154472,3.2024247916136317,10.331233663649906,5.11848,0.0,0.0,0.0,10.331233663649906,142161.34786154472,142180.0
day_2,Wonju,50-64,92201.68566101912,2.2337828595347045,6.760852121354809,3.3197040000000007,0.0,0.0,0.0,6.760852121354809,92201.68566101912,92214.0
day_2,Wonju,65+,74477.68548185978,2.0696785171012433,5.563271623123696,2.6815680000000004,0.0,0.0,0.0,5.563271623123696,74477.68548185978,74488.0
day_3,Seoul,0-18,1098725.7616494675,41.432395602719865,87.22995553086903,56.57599939861744,0.0,0.0,0.0,87.22995553086903,1098725.7616494675,1098911.0
day_3,Seoul,19-49,4150990.212716851,99.90839710828351,288.0883016630104,209.7905843781193,0.0,0.0,0.0,288.0883016630104,4150990.212716851,4151588.0
day_3,Seoul,50-64,2134481.638318734,55.13568258499413,151.0699829625592,108.15601571817676,0.0,0.0,0.0,151.0699829625592,2134481.638318734,2134796.0
day_3,Seoul,65+,1918537.9335981845,57.018993545058706,141.30706351613244,97.74034475417501,0.0,0.0,0.0,141.30706351613244,1918537.9335981845,1918834.0
day_3,Wonju,0-18,54777.76480851442,2.065641947242509,4.348912308339548,2.820637229995927,0.0,0.0,0.0,4.348912308339548,54777.76480851442,54787.0
day_3,Wonju,19-49,142159.5274974496,3.421576490936901,9.86619932672674,7.184726732729981,0.0,0.0,0.0,9.86619932672674,142159.5274974496,142180.0
day_3,Wonju,50-64,92200.42092824033,2.3816242085391988,6.525573126851199,4.671874424270962,0.0,0.0,0.0,6.525573126851199,92200.42092824033,92214.0
day_3,Wonju,65+,74476.50687754208,2.2134435762469984,5.485456557049578,3.79422232462474,0.0,0.0,0.0,5.485456557049578,74476.50687754208,74488.0
day_4,Seoul,0-18,1098703.5450864865,42.93276078245409,90.50016222605515,74.02199050479125,0.0,0.0,0.0,90.50016222605515,1098703.5450864865,1098911.0
