date_or_day,source_region,source_age_group,target_region,target_age_group,flow_first,flow_reinfection,flow_total
day_1,Seoul,0-18,Seoul,0-18,6.87694141000413,0.0,6.87694141000413
day_1,Seoul,0-18,Seoul,19-49,11.616769056038722,0.0,11.616769056038722
day_1,Seoul,0-18,Seoul,50-64,2.1698524671371553,0.0,2.1698524671371553
day_1,Seoul,0-18,Seoul,65+,1.774428200373066,0.0,1.774428200373066
day_1,Seoul,0-18,Wonju,0-18,0.018843515960990438,0.0,0.018843515960990438
day_1,Seoul,0-18,Wonju,19-49,0.021865591667405954,0.0,0.021865591667405954
day_1,Seoul,0-18,Wonju,50-64,0.005151364762539752,0.0,0.005151364762539752
day_1,Seoul,0-18,Wonju,65+,0.0037858112327172513,0.0,0.0037858112327172513
day_1,Seoul,19-49,Seoul,0-18,8.61588774106887,0.0,8.61588774106887
day_1,Seoul,19-49,Seoul,19-49,23.97820279515685,0.0,23.97820279515685
day_1,Seoul,19-49,Seoul,50-64,10.134487405334715,0.0,10.134487405334715
day_1,Seoul,19-49,Seoul,65+,7.158899980815471,0.0,7.158899980815471
day_1,Seoul,19-49,Wonju,0-18,0.023608405028833244,0.0,0.023608405028833244
day_1,Seoul,19-49,Wonju,19-49,0.045132823826312306,0.0,0.045132823826312306
day_1,Seoul,19-49,Wonju,50-64,0.024059903655626838,0.0,0.024059903655626838
day_1,Seoul,19-49,Wonju,65+,0.015273790145790292,0.0,0.015273790145790292
day_1,Seoul,50-64,Seoul,0-18,1.892253942115786,0.0,1.892253942115786
day_1,Seoul,50-64,Seoul,19-49,11.898086825202054,0.0,11.898086825202054
day_1,Seoul,50-64,Seoul,50-64,13.427557620166395,0.0,13.427557620166395
day_1,Seoul,50-64,Seoul,65+,6.906502866107234,0.0,6.906502866107234
day_1,Seoul,50-64,Wonju,0-18,0.00518496744913877,0.0,0.00518496744913877
day_1,Seoul,50-64,Wonju,19-49,0.022395100297528323,0.0,0.022395100297528323
day_1,Seoul,50-64,Wonju,50-64,0.03187785723642246,0.0,0.03187785723642246
day_1,Seoul,50-64,Wonju,65+,0.014735291134239995,0.0,0.014735291134239995
day_1,Seoul,65+,Seoul,0-18,1.265882845535792,0.0,1.265882845535792
day_1,Seoul,65+,Seoul,19-49,6.884011292467391,0.0,6.884011292467391
day_1,Seoul,65+,Seoul,50-64,5.658634865279248,0.0,5.658634865279248
day_1,Seoul,65+,Seoul,65+,17.698391619238254,0.0,17.698391619238254
day_1,Seoul,65+,Wonju,0-18,0.0034686472055581127,0.0,0.0034686472055581127
day_1,Seoul,65+,Wonju,19-49,0.012957387654759088,0.0,0.012957387654759088
day_1,Seoul,65+,Wonju,50-64,0.01343395124348602,0.0,0.01343395124348602
day_1,Seoul,65+,Wonju,65+,0.03776020341598156,0.0,0.03776020341598156
day_1,Wonju,0-18,Seoul,0-18,0.02347078979523594,0.0,0.02347078979523594
day_1,Wonju,0-18,Seoul,19-49,0.03964767595917652,0.0,0.03964767595917652
day_1,Wonju,0-18,Seoul,50-64,0.007405639819580735,0.0,0.007405639819580735
day_1,Wonju,0-18,Seoul,65+,0.006056068943252783,0.0,0.006056068943252783
day_1,Wonju,0-18,Wonju,0-18,0.3251815080768141,0.0,0.3251815080768141
day_1,Wonju,0-18,Wonju,19-49,0.37733330064933196,0.0,0.37733330064933196
day_1,Wonju,0-18,Wonju,50-64,0.08889681552021722,0.0,0.08889681552021722
day_1,Wonju,0-18,Wonju,65+,0.06533153412015535,0.0,0.06533153412015535
day_1,Wonju,19-49,Seoul,0-18,0.029405760208426168,0.0,0.029405760208426168
day_1,Wonju,19-49,Seoul,19-49,0.08183686960804384,0.0,0.08183686960804384
day_1,Wonju,19-49,Seoul,50-64,0.03458869421615943,0.0,0.03458869421615943
day_1,Wonju,19-49,Seoul,65+,0.024433105736571575,0.0,0.024433105736571575
day_1,Wonju,19-49,Wonju,0-18,0.40740893400451805,0.0,0.40740893400451805
day_1,Wonju,19-49,Wonju,19-49,0.7788546333915698,0.0,0.7788546333915698
day_1,Wonju,19-49,Wonju,50-64,0.4152004207238382,0.0,0.4152004207238382
day_1,Wonju,19-49,Wonju,65+,0.2635789480020061,0.0,0.2635789480020061
day_1,Wonju,50-64,Seoul,0-18,0.006458204580599951,0.0,0.006458204580599951
day_1,Wonju,50-64,Seoul,19-49,0.04060780486417082,0.0,0.04060780486417082
day_1,Wonju,50-64,Seoul,50-64,0.04582784170705254,0.0,0.04582784170705254
day_1,Wonju,50-64,Seoul,65+,0.023571682136884757,0.0,0.023571682136884757
day_1,Wonju,50-64,Wonju,0-18,0.08947669521604058,0.0,0.08947669521604058
day_1,Wonju,50-64,Wonju,19-49,0.3864710016622075,0.0,0.3864710016622075
day_1,Wonju,50-64,Wonju,50-64,0.5501144113368737,0.0,0.5501144113368737
day_1,Wonju,50-64,Wonju,65+,0.2542861004762943,0.0,0.2542861004762943
day_1,Wonju,65+,Seoul,0-18,0.004320419268040245,0.0,0.004320419268040245
day_1,Wonju,65+,Seoul,19-49,0.023494919086919423,0.0,0.023494919086919423
day_1,Wonju,65+,Seoul,50-64,0.019312746980475245,0.0,0.019312746980475245
day_1,Wonju,65+,Seoul,65+,0.0604040669598575,0.0,0.0604040669598575
day_1,Wonju,65+,Wonju,0-18,0.059858252123693806,0.0,0.059858252123693806
day_1,Wonju,65+,Wonju,19-49,0.2236049189033078,0.0,0.2236049189033078
day_1,Wonju,65+,Wonju,50-64,0.23182895027821362,0.0,0.23182895027821362
day_1,Wonju,65+,Wonju,65+,0.6516257325605149,0.0,0.6516257325605149
day_2,Seoul,0-18,Seoul,0-18,5.501468796452414,0.0,5.501468796452414
day_2,Seoul,0-18,Seoul,19-49,9.293305308059377,0.0,9.293305308059377
day_2,Seoul,0-18,Seoul,50-64,1.7358589206455681,0.0,1.7358589206455681
day_2,Seoul,0-18,Seoul,65+,1.4195201515630893,0.0,1.4195201515630893
day_2,Seoul,0-18,Wonju,0-18,0.015074581691801805,0.0,0.015074581691801805
day_2,Seoul,0-18,Wonju,19-49,0.017492266406116747,0.0,0.017492266406116747
day_2,Seoul,0-18,Wonju,50-64,0.004121037080623161,0.0,0.004121037080623161
day_2,Seoul,0-18,Wonju,65+,0.0030286011762697255,0.0,0.0030286011762697255
day_2,Seoul,19-49,Seoul,0-18,6.892604536701847,0.0,6.892604536701847
day_2,Seoul,19-49,Seoul,19-49,19.18233531535333,0.0,19.18233531535333
day_2,Seoul,19-49,Seoul,50-64,8.107482252897537,0.0,8.107482252897537
day_2,Seoul,19-49,Seoul,65+,5.727029576995912,0.0,5.727029576995912
day_2,Seoul,19-49,Wonju,0-18,0.018886434514505827,0.0,0.018886434514505827
day_2,Seoul,19-49,Wonju,19-49,0.03610583194083073,0.0,0.03610583194083073
day_2,Seoul,19-49,Wonju,50-64,0.01924766730596935,0.0,0.01924766730596935
day_2,Seoul,19-49,Wonju,65+,0.012218839228398547,0.0,0.012218839228398547
day_2,Seoul,50-64,Seoul,0-18,1.5137799490875434,0.0,1.5137799490875434
day_2,Seoul,50-64,Seoul,19-49,9.51835686110355,0.0,9.51835686110355
day_2,Seoul,50-64,Seoul,50-64,10.741903438347869,0.0,10.741903438347869
day_2,Seoul,50-64,Seoul,65+,5.525115072678748,0.0,5.525115072678748
day_2,Seoul,50-64,Wonju,0-18,0.004147910376342916,0.0,0.004147910376342916
day_2,Seoul,50-64,Wonju,19-49,0.01791586829914237,0.0,0.01791586829914237
day_2,Seoul,50-64,Wonju,50-64,0.025501947110679792,0.0,0.025501947110679792
day_2,Seoul,50-64,Wonju,65+,0.011788046819705009,0.0,0.011788046819705009
day_2,Seoul,65+,Seoul,0-18,1.0126907529775466,0.0,1.0126907529775466
day_2,Seoul,65+,Seoul,19-49,5.507143886257409,0.0,5.507143886257409
day_2,Seoul,65+,Seoul,50-64,4.526847773448247,0.0,4.526847773448247
day_2,Seoul,65+,Seoul,65+,14.158489787573227,0.0,14.158489787573227
day_2,Seoul,65+,Wonju,0-18,0.002774875228618294,0.0,0.002774875228618294
day_2,Seoul,65+,Wonju,19-49,0.010365787499921036,0.0,0.010365787499921036
day_2,Seoul,65+,Wonju,50-64,0.01074701826907609,0.0,0.01074701826907609
day_2,Seoul,65+,Wonju,65+,0.03020768587020752,0.0,0.03020768587020752
day_2,Wonju,0-18,Seoul,0-18,0.01877634401519595,0.0,0.01877634401519595
day_2,Wonju,0-18,Seoul,19-49,0.03171776555651663,0.0,0.03171776555651663
day_2,Wonju,0-18,Seoul,50-64,0.005924433176264736,0.0,0.005924433176264736
day_2,Wonju,0-18,Seoul,65+,0.0048447786742767535,0.0,0.0048447786742767535
day_2,Wonju,0-18,Wonju,0-18,0.260141218778663,0.0,0.260141218778663
day_2,Wonju,0-18,Wonju,19-49,0.30186306957777853,0.0,0.30186306957777853
