date_or_day,source_region,source_age_group,target_region,target_age_group,flow_first,flow_reinfection,flow_total
day_1,Seoul,0-18,Seoul,0-18,17.032013663054034,0.0,17.032013663054034
day_1,Seoul,0-18,Seoul,19-49,13.353523972268254,0.0,13.353523972268254
day_1,Seoul,0-18,Seoul,50-64,2.2518828079297912,0.0,2.2518828079297912
day_1,Seoul,0-18,Seoul,65+,0.7820282827346396,0.0,0.7820282827346396
day_1,Seoul,0-18,Wonju,0-18,0.0516227317061668,0.0,0.0516227317061668
day_1,Seoul,0-18,Wonju,19-49,0.027802262418591846,0.0,0.027802262418591846
day_1,Seoul,0-18,Wonju,50-64,0.005913522475621241,0.0,0.005913522475621241
day_1,Seoul,0-18,Wonju,65+,0.0018455735369224653,0.0,0.0018455735369224653
day_1,Seoul,19-49,Seoul,0-18,9.910094054527702,0.0,9.910094054527702
day_1,Seoul,19-49,Seoul,19-49,35.01775044156309,0.0,35.01775044156309
day_1,Seoul,19-49,Seoul,50-64,13.869550930658486,0.0,13.869550930658486
day_1,Seoul,19-49,Seoul,65+,7.490604237566107,0.0,7.490604237566107
day_1,Seoul,19-49,Wonju,0-18,0.03003673768002538,0.0,0.03003673768002538
day_1,Seoul,19-49,Wonju,19-49,0.07290754778341291,0.0,0.07290754778341291
day_1,Seoul,19-49,Wonju,50-64,0.03642192252030355,0.0,0.03642192252030355
day_1,Seoul,19-49,Wonju,65+,0.0176776994664044,0.0,0.0176776994664044
day_1,Seoul,50-64,Seoul,0-18,1.9626991769489952,0.0,1.9626991769489952
day_1,Seoul,50-64,Seoul,19-49,16.28964042331357,0.0,16.28964042331357
day_1,Seoul,50-64,Seoul,50-64,15.370806135945012,0.0,15.370806135945012
day_1,Seoul,50-64,Seoul,65+,10.082031292118149,0.0,10.082031292118149
day_1,Seoul,50-64,Wonju,0-18,0.005948791202025409,0.0,0.005948791202025409
day_1,Seoul,50-64,Wonju,19-49,0.0339153064534872,0.0,0.0339153064534872
day_1,Seoul,50-64,Wonju,50-64,0.040364270837384385,0.0,0.040364270837384385
day_1,Seoul,50-64,Wonju,65+,0.0237934235397357,0.0,0.0237934235397357
day_1,Seoul,65+,Seoul,0-18,0.557634889200274,0.0,0.557634889200274
day_1,Seoul,65+,Seoul,19-49,7.199291185048972,0.0,7.199291185048972
day_1,Seoul,65+,Seoul,50-64,8.248373769954956,0.0,8.248373769954956
day_1,Seoul,65+,Seoul,65+,22.617484647717525,0.0,22.617484647717525
day_1,Seoul,65+,Wonju,0-18,0.0016901487307767942,0.0,0.0016901487307767942
day_1,Seoul,65+,Wonju,19-49,0.014989045825675607,0.0,0.014989045825675607
day_1,Seoul,65+,Wonju,50-64,0.021660516037597503,0.0,0.021660516037597503
day_1,Seoul,65+,Wonju,65+,0.053376881705110533,0.0,0.053376881705110533
day_1,Wonju,0-18,Seoul,0-18,0.016755547135321236,0.0,0.016755547135321236
day_1,Wonju,0-18,Seoul,19-49,0.013136767311626421,0.0,0.013136767311626421
day_1,Wonju,0-18,Seoul,50-64,0.0022153298651547385,0.0,0.0022153298651547385
day_1,Wonju,0-18,Seoul,65+,0.0007693342673237971,0.0,0.0007693342673237971
day_1,Wonju,0-18,Wonju,0-18,0.798355946019913,0.0,0.798355946019913
day_1,Wonju,0-18,Wonju,19-49,0.42996758949192243,0.0,0.42996758949192243
day_1,Wonju,0-18,Wonju,50-64,0.09145381645447943,0.0,0.09145381645447943
day_1,Wonju,0-18,Wonju,65+,0.028542166567350365,0.0,0.028542166567350365
day_1,Wonju,19-49,Seoul,0-18,0.009749231730966751,0.0,0.009749231730966751
day_1,Wonju,19-49,Seoul,19-49,0.03444933639110978,0.0,0.03444933639110978
day_1,Wonju,19-49,Seoul,50-64,0.013644418033112138,0.0,0.013644418033112138
day_1,Wonju,19-49,Seoul,65+,0.0073690154821112715,0.0,0.0073690154821112715
day_1,Wonju,19-49,Wonju,0-18,0.46452419957900065,0.0,0.46452419957900065
day_1,Wonju,19-49,Wonju,19-49,1.1275299148042832,0.0,1.1275299148042832
day_1,Wonju,19-49,Wonju,50-64,0.5632723695264527,0.0,0.5632723695264527
day_1,Wonju,19-49,Wonju,65+,0.2733891836892285,0.0,0.2733891836892285
day_1,Wonju,50-64,Seoul,0-18,0.0019308403118042255,0.0,0.0019308403118042255
day_1,Wonju,50-64,Seoul,19-49,0.01602522422362378,0.0,0.01602522422362378
day_1,Wonju,50-64,Seoul,50-64,0.015121304609881961,0.0,0.015121304609881961
day_1,Wonju,50-64,Seoul,65+,0.009918378054223461,0.0,0.009918378054223461
day_1,Wonju,50-64,Wonju,0-18,0.09199925441374093,0.0,0.09199925441374093
day_1,Wonju,50-64,Wonju,19-49,0.524507047057227,0.0,0.524507047057227
day_1,Wonju,50-64,Wonju,50-64,0.6242415804961058,0.0,0.6242415804961058
day_1,Wonju,50-64,Wonju,65+,0.3679700885888797,0.0,0.3679700885888797
day_1,Wonju,65+,Seoul,0-18,0.0005485832653224535,0.0,0.0005485832653224535
day_1,Wonju,65+,Seoul,19-49,0.007082431072355113,0.0,0.007082431072355113
day_1,Wonju,65+,Seoul,50-64,0.008114484771229665,0.0,0.008114484771229665
day_1,Wonju,65+,Seoul,65+,0.022250353809854916,0.0,0.022250353809854916
day_1,Wonju,65+,Wonju,0-18,0.026138490627617673,0.0,0.026138490627617673
day_1,Wonju,65+,Wonju,19-49,0.23180861346521028,0.0,0.23180861346521028
day_1,Wonju,65+,Wonju,50-64,0.33498424436167273,0.0,0.33498424436167273
day_1,Wonju,65+,Wonju,65+,0.8254842291537606,0.0,0.8254842291537606
day_2,Seoul,0-18,Seoul,0-18,13.625281794043852,0.0,13.625281794043852
day_2,Seoul,0-18,Seoul,19-49,10.682652578399631,0.0,10.682652578399631
day_2,Seoul,0-18,Seoul,50-64,1.8014760310073827,0.0,1.8014760310073827
day_2,Seoul,0-18,Seoul,65+,0.6256105903201601,0.0,0.6256105903201601
day_2,Seoul,0-18,Wonju,0-18,0.04129718777766186,0.0,0.04129718777766186
day_2,Seoul,0-18,Wonju,19-49,0.02224146307207806,0.0,0.02224146307207806
day_2,Seoul,0-18,Wonju,50-64,0.004730738633973904,0.0,0.004730738633973904
day_2,Seoul,0-18,Wonju,65+,0.0014764304250938656,0.0,0.0014764304250938656
day_2,Seoul,19-49,Seoul,0-18,7.92788373528151,0.0,7.92788373528151
day_2,Seoul,19-49,Seoul,19-49,28.01376346956724,0.0,28.01376346956724
day_2,Seoul,19-49,Seoul,50-64,11.095454645522745,0.0,11.095454645522745
day_2,Seoul,19-49,Seoul,65+,5.9923681053215345,0.0,5.9923681053215345
day_2,Seoul,19-49,Wonju,0-18,0.024028809696876208,0.0,0.024028809696876208
day_2,Seoul,19-49,Wonju,19-49,0.05832512862752395,0.0,0.05832512862752395
day_2,Seoul,19-49,Wonju,50-64,0.02913704931379382,0.0,0.02913704931379382
day_2,Seoul,19-49,Wonju,65+,0.014141887503104968,0.0,0.014141887503104968
day_2,Seoul,50-64,Seoul,0-18,1.5701214132347519,0.0,1.5701214132347519
day_2,Seoul,50-64,Seoul,19-49,13.031509108060172,0.0,13.031509108060172
day_2,Seoul,50-64,Seoul,50-64,12.29643866619433,0.0,12.29643866619433
day_2,Seoul,50-64,Seoul,65+,8.065469865402065,0.0,8.065469865402065
day_2,Seoul,50-64,Wonju,0-18,0.004758918003767686,0.0,0.004758918003767686
day_2,Seoul,50-64,Wonju,19-49,0.02713182203326789,0.0,0.02713182203326789
day_2,Seoul,50-64,Wonju,50-64,0.03229087506977642,0.0,0.03229087506977642
day_2,Seoul,50-64,Wonju,65+,0.01903437263723954,0.0,0.01903437263723954
day_2,Seoul,65+,Seoul,0-18,0.4460971353038333,0.0,0.4460971353038333
day_2,Seoul,65+,Seoul,19-49,5.759343129224151,0.0,5.759343129224151
day_2,Seoul,65+,Seoul,50-64,6.5985883408490125,0.0,6.5985883408490125
day_2,Seoul,65+,Seoul,65+,18.093639622004638,0.0,18.093639622004638
day_2,Seoul,65+,Wonju,0-18,0.0013520863232181122,0.0,0.0013520863232181122
day_2,Seoul,65+,Wonju,19-49,0.011991049656250781,0.0,0.011991049656250781
day_2,Seoul,65+,Wonju,50-64,0.01732812219338169,0.0,0.01732812219338169
day_2,Seoul,65+,Wonju,65+,0.04270068386300887,0.0,0.04270068386300887
day_2,Wonju,0-18,Seoul,0-18,0.01340411391445534,0.0,0.01340411391445534
day_2,Wonju,0-18,Seoul,19-49,0.010509249954156058,0.0,0.010509249954156058
day_2,Wonju,0-18,Seoul,50-64,0.0017722341672477943,0.0,0.0017722341672477943
day_2,Wonju,0-18,Seoul,65+,0.0006154555733597247,0.0,0.0006154555733597247
day_2,Wonju,0-18,Wonju,0-18,0.6386693289277962,0.0,0.6386693289277962
day_2,Wonju,0-18,Wonju,19-49,0.34396870729052587,0.0,0.34396870729052587
day_2,Wonju,0-18,Wonju,50-64,0.07316182605361839,0.0,0.07316182605361839
