date_or_day,region,age_group,S0,E0,I0,R,S1,E1,I1,active_I,susceptible_total,population
initial_state,Seoul,0-18,1098801.1089,0.0,109.89110000000001,0.0,0.0,0.0,0.0,109.89110000000001,1098801.1089,1098911.0
initial_state,Seoul,19-49,4151172.8412,0.0,415.15880000000004,0.0,0.0,0.0,0.0,415.15880000000004,4151172.8412,4151588.0
initial_state,Seoul,50-64,2134582.5204,0.0,213.4796,0.0,0.0,0.0,0.0,213.4796,2134582.5204,2134796.0
initial_state,Seoul,65+,1918642.1166,0.0,191.88340000000002,0.0,0.0,0.0,0.0,191.88340000000002,1918642.1166,1918834.0
initial_state,Wonju,0-18,54781.5213,0.0,5.4787,0.0,0.0,0.0,0.0,5.4787,54781.5213,54787.0
initial_state,Wonju,19-49,142165.782,0.0,14.218,0.0,0.0,0.0,0.0,14.218,142165.782,142180.0
initial_state,Wonju,50-64,92204.7786,0.0,9.221400000000001,0.0,0.0,0.0,0.0,9.221400000000001,92204.7786,92214.0
initial_state,Wonju,65+,74480.5512,0.0,7.4488,0.0,0.0,0.0,0.0,7.4488,74480.5512,74488.0
day_1,Seoul,0-18,1098775.731282651,25.377617349253757,87.91288,21.978220000000004,0.0,0.0,0.0,87.91288,1098775.731282651,1098911.0
day_1,Seoul,19-49,4151107.718111294,65.12308870580605,332.12704,83.03176000000002,0.0,0.0,0.0,332.12704,4151107.718111294,4151588.0
day_1,Seoul,50-64,2134547.633068387,34.887331613373306,170.78368,42.69592,0.0,0.0,0.0,170.78368,2134547.633068387,2134796.0
day_1,Seoul,65+,1918600.5669362245,41.549663775654466,153.50672000000003,38.37668000000001,0.0,0.0,0.0,153.50672000000003,1918600.5669362245,1918834.0
day_1,Wonju,0-18,54780.25608059487,1.2652194051325043,4.38296,1.09574,0.0,0.0,0.0,4.38296,54780.25608059487,54787.0
day_1,Wonju,19-49,142163.55172070634,2.2302792936561877,11.3744,2.8436000000000003,0.0,0.0,0.0,11.3744,142163.55172070634,142180.0
day_1,Wonju,50-64,92203.27161741364,1.5069825863434287,7.377120000000001,1.8442800000000004,0.0,0.0,0.0,7.377120000000001,92203.27161741364,92214.0
day_1,Wonju,65+,74478.93826664813,1.6129333518798135,5.95904,1.4897600000000002,0.0,0.0,0.0,5.95904,74478.93826664813,74488.0
day_2,Seoul,0-18,1098755.4296107746,32.990480550851885,83.01911267462688,39.560796,0.0,0.0,0.0,83.01911267462688,1098755.4296107746,1098911.0
day_2,Seoul,19-49,4151055.6203759136,84.65927973377806,298.26317635290303,149.45716800000002,0.0,0.0,0.0,298.26317635290303,4151055.6203759136,4151588.0
day_2,Seoul,50-64,2134519.723613636,45.35312055740404,154.07060980668666,76.852656,0.0,0.0,0.0,154.07060980668666,2134519.723613636,2134796.0
day_2,Seoul,65+,1918567.3278530533,54.01391505886282,143.58020788782727,69.07802400000001,0.0,0.0,0.0,143.58020788782727,1918567.3278530533,1918834.0
day_2,Wonju,0-18,54779.24392611004,1.6447641873996361,4.138977702566251,1.972332,0.0,0.0,0.0,4.138977702566251,54779.24392611004,54787.0
day_2,Wonju,19-49,142161.76752246305,2.899337890115437,10.214659646828094,5.11848,0.0,0.0,0.0,10.214659646828094,142161.76752246305,142180.0
day_2,Wonju,50-64,92202.06604907814,1.9590596286860458,6.655187293171714,3.3197040000000007,0.0,0.0,0.0,6.655187293171714,92202.06604907814,92214.0
day_2,Wonju,65+,74477.64794511575,2.0967882083101377,5.573698675939907,2.6815680000000004,0.0,0.0,0.0,5.573698675939907,74477.64794511575,74488.0
day_3,Seoul,0-18,1098736.7992026357,35.12564841436587,82.91053041512745,56.16461853492538,0.0,0.0,0.0,82.91053041512745,1098736.7992026357,1098911.0
day_3,Seoul,19-49,4151007.8677626415,90.08225313861249,280.9401809492114,209.10980327058064,0.0,0.0,0.0,280.9401809492114,4151007.8677626415,4151588.0
day_3,Seoul,50-64,2134494.307738231,48.09243568343249,145.93304812405137,107.66677796133733,0.0,0.0,0.0,145.93304812405137,2134494.307738231,2134796.0
day_3,Seoul,65+,1918536.7772379345,57.55757264805644,141.87112383969324,97.79406557756548,0.0,0.0,0.0,141.87112383969324,1918536.7772379345,1918834.0
day_3,Wonju,0-18,54778.31509368347,1.7512145202640272,4.133564255752819,2.80012754051325,0.0,0.0,0.0,4.133564255752819,54778.31509368347,54787.0
day_3,Wonju,19-49,142160.1321322088,3.0850591993347907,9.621396662520194,7.161411929365618,0.0,0.0,0.0,9.621396662520194,142160.1321322088,142180.0
day_3,Wonju,50-64,92200.96819263913,2.0773862533525653,6.303679648880394,4.650741458634344,0.0,0.0,0.0,6.303679648880394,92200.96819263913,92214.0
day_3,Wonju,65+,74476.46198832171,2.234350898206113,5.507353044906994,3.796307735187982,0.0,0.0,0.0,5.507353044906994,74476.46198832171,74488.0
day_4,Seoul,0-18,1098718.7890439786,35.572982864307384,83.89124853928489,72.74672461795087,0.0,0.0,0.0,83.89124853928489,1098718.7890439786,1098911.0
