week_start,age_group,observed_rate
2025-12-01,0-18,113.15789473684211
2025-12-08,0-18,97.82105263157895
2025-12-15,0-18,83.1263157894737
2025-12-22,0-18,75.14736842105263
2025-12-29,0-18,72.90526315789474
2026-01-05,0-18,88.38421052631578
2026-01-12,0-18,95.66842105263159
2026-01-19,0-18,99.15263157894736
2026-01-26,0-18,94.98947368421052
2026-02-02,0-18,109.3894736842105
2026-02-09,0-18,100.66315789473686
2026-02-16,0-18,85.98421052631578
2026-02-23,0-18,44.51052631578948
2025-12-01,19-49,59.3
2025-12-08,19-49,50.5
2025-12-15,19-49,39.0
2025-12-22,19-49,37.7
2025-12-29,19-49,38.2
2026-01-05,19-49,44.2
2026-01-12,19-49,44.8
2026-01-19,19-49,49.3
2026-01-26,19-49,48.9
2026-02-02,19-49,51.8
2026-02-09,19-49,46.3
2026-02-16,19-49,45.3
2026-02-23,19-49,28.1
2025-12-01,50-64,17.3
2025-12-08,50-64,17.7
2025-12-15,50-64,13.9
2025-12-22,50-64,13.1
2025-12-29,50-64,13.6
2026-01-05,50-64,14.7
2026-01-12,50-64,14.7
2026-01-19,50-64,14.5
2026-01-26,50-64,14.0
2026-02-02,50-64,15.4
2026-02-09,50-64,15.3
2026-02-16,50-64,15.3
2026-02-23,50-64,8.4
2025-12-01,65+,10.5
2025-12-08,65+,10.6
2025-12-15,65+,9.0
2025-12-22,65+,10.0
2025-12-29,65+,9.3
2026-01-05,65+,9.0
2026-01-12,65+,9.5
2026-01-19,65+,9.7
2026-01-26,65+,9.7
2026-02-02,65+,9.8
2026-02-09,65+,8.5
2026-02-16,65+,9.1
2026-02-23,65+,6.4
