week_start,age_group,model_rate
2025-09-01,0-18,52.581815466148456
2025-09-01,19-49,28.1568864806096
2025-09-01,50-64,28.381200607180766
2025-09-01,65+,30.062793266147178
2025-09-08,0-18,58.25940096692492
2025-09-08,19-49,25.879742217740244
2025-09-08,50-64,24.469631037246497
2025-09-08,65+,25.622115919613798
2025-09-15,0-18,65.49208376744583
2025-09-15,19-49,26.260935361514186
2025-09-15,50-64,23.55751182716978
2025-09-15,65+,24.044142754191643
2025-09-22,0-18,71.93789506921061
2025-09-22,19-49,27.170963926387017
2025-09-22,50-64,23.428908997402807
2025-09-22,65+,23.256136704511672
2025-09-29,0-18,77.97552958771054
2025-09-29,19-49,28.413640044544614
2025-09-29,50-64,23.832415442963025
2025-09-29,65+,23.101663424141833
2025-10-06,0-18,83.83683820069412
2025-10-06,19-49,29.89088449487405
2025-10-06,50-64,24.610855747057073
2025-10-06,65+,23.431591217921238
2025-10-13,0-18,89.67042029918221
2025-10-13,19-49,31.549916257292065
2025-10-13,50-64,25.66426575892109
2025-10-13,65+,24.12693959032527
2025-10-20,0-18,95.57439358354699
2025-10-20,19-49,33.36067908039301
2025-10-20,50-64,26.928151063815857
2025-10-20,65+,25.099905756262444
2025-10-27,0-18,101.6147232287085
2025-10-27,19-49,35.3053539155551
2025-10-27,50-64,28.360457280863578
2025-10-27,65+,26.288257059239484
2025-11-03,0-18,107.83610302460852
2025-11-03,19-49,37.37308904228444
2025-11-03,50-64,29.933576852526002
2025-11-03,65+,27.648890646527267
2025-11-10,0-18,114.26869137817216
2025-11-10,19-49,39.557133248174665
2025-11-10,50-64,31.629302755128908
2025-11-10,65+,29.152360728549464
2025-11-17,0-18,120.93238962908147
2025-11-17,19-49,41.85315759870507
2025-11-17,50-64,33.43555838543802
2025-11-17,65+,30.778698508272203
2025-11-24,0-18,127.83959214868561
2025-11-24,19-49,44.258209406181166
2025-11-24,50-64,35.344232850796075
2025-11-24,65+,32.51437223169984
2025-12-01,0-18,134.99695460523156
2025-12-01,19-49,46.77002566513133
2025-12-01,50-64,37.34972325616039
2025-12-01,65+,34.350129354618865
2025-12-08,0-18,142.40651849375968
2025-12-08,19-49,49.38656254278992
2025-12-08,50-64,39.4479385748097
2025-12-08,65+,36.27948201916085
2025-12-15,0-18,150.06640927203867
2025-12-15,19-49,52.10566046725521
2025-12-15,50-64,41.635609316780005
2025-12-15,65+,38.2976476081034
2025-12-22,0-18,135.82866049002638
2025-12-22,19-49,49.912850324117876
2025-12-22,50-64,40.29580069133564
2025-12-22,65+,38.05896656527458
2025-12-29,0-18,90.19440389479628
2025-12-29,19-49,42.17554532659007
2025-12-29,50-64,36.300294011174365
2025-12-29,65+,38.19038430295654
2026-01-05,0-18,78.28745911403671
2026-01-05,19-49,37.942197831169125
2026-01-05,50-64,34.48516953980507
2026-01-05,65+,37.677597480812025
2026-01-12,0-18,66.95035010552152
2026-01-12,19-49,33.727474211958125
2026-01-12,50-64,31.680696309910502
2026-01-12,65+,35.66841680128347
2026-01-19,0-18,58.004598482135854
2026-01-19,19-49,29.982481471945263
2026-01-19,50-64,28.78479084529671
2026-01-19,65+,33.08075390479085
2026-01-26,0-18,50.66737656071922
2026-01-26,19-49,26.653007041406443
2026-01-26,50-64,25.966746545664318
2026-01-26,65+,30.26397418077878
2026-02-02,0-18,44.512114533359124
2026-02-02,19-49,23.696948173856143
2026-02-02,50-64,23.31679190229552
2026-02-02,65+,27.436537630494705
2026-02-09,0-18,39.260716748635176
2026-02-09,19-49,21.072456837258482
2026-02-09,50-64,20.87398638617658
2026-02-09,65+,24.722277853760367
2026-02-16,0-18,37.79012789047533
2026-02-16,19-49,23.90756960136504
2026-02-16,50-64,23.39606603050659
2026-02-16,65+,31.340180124923272
2026-02-23,0-18,31.427403151921183
2026-02-23,19-49,17.35904054077726
2026-02-23,50-64,17.750821708903704
2026-02-23,65+,21.735685050147822
