week_start,age_group,observed_rate,model_rate
2025-09-01,0-18,8.926315789473684,52.581815466148456
2025-09-08,0-18,9.136842105263158,58.25940096692492
2025-09-15,0-18,10.868421052631579,65.49208376744583
2025-09-22,0-18,14.842105263157896,71.93789506921061
2025-09-29,0-18,21.899999999999995,77.97552958771054
2025-10-06,0-18,19.810526315789474,83.83683820069412
2025-10-13,0-18,13.336842105263159,89.67042029918221
2025-10-20,0-18,23.978947368421057,95.57439358354699
2025-10-27,0-18,45.86842105263158,101.6147232287085
2025-11-03,0-18,95.34736842105262,107.83610302460852
2025-11-10,0-18,124.75789473684209,114.26869137817216
2025-11-17,0-18,136.75263157894736,120.93238962908147
2025-11-24,0-18,135.89473684210526,127.83959214868561
2025-12-01,0-18,113.15789473684211,134.99695460523156
2025-12-08,0-18,97.82105263157895,142.40651849375968
2025-12-15,0-18,83.1263157894737,150.06640927203867
2025-12-22,0-18,75.14736842105263,135.82866049002638
2025-12-29,0-18,72.90526315789474,90.19440389479628
2026-01-05,0-18,88.38421052631578,78.28745911403671
2026-01-12,0-18,95.66842105263159,66.95035010552152
2026-01-19,0-18,99.15263157894736,58.004598482135854
2026-01-26,0-18,94.98947368421052,50.66737656071922
2026-02-02,0-18,109.3894736842105,44.512114533359124
2026-02-09,0-18,100.66315789473686,39.260716748635176
2026-02-16,0-18,85.98421052631578,37.79012789047533
2026-02-23,0-18,44.51052631578948,31.427403151921183
2025-09-01,19-49,8.1,28.1568864806096
2025-09-08,19-49,8.7,25.879742217740244
2025-09-15,19-49,9.3,26.260935361514186
2025-09-22,19-49,8.6,27.170963926387017
2025-09-29,19-49,11.4,28.413640044544614
2025-10-06,19-49,17.6,29.89088449487405
2025-10-13,19-49,9.2,31.549916257292065
2025-10-20,19-49,11.8,33.36067908039301
2025-10-27,19-49,15.7,35.3053539155551
2025-11-03,19-49,34.7,37.37308904228444
2025-11-10,19-49,50.7,39.557133248174665
2025-11-17,19-49,60.0,41.85315759870507
2025-11-24,19-49,63.0,44.258209406181166
2025-12-01,19-49,59.3,46.77002566513133
2025-12-08,19-49,50.5,49.38656254278992
2025-12-15,19-49,39.0,52.10566046725521
2025-12-22,19-49,37.7,49.912850324117876
2025-12-29,19-49,38.2,42.17554532659007
2026-01-05,19-49,44.2,37.942197831169125
2026-01-12,19-49,44.8,33.727474211958125
2026-01-19,19-49,49.3,29.982481471945263
2026-01-26,19-49,48.9,26.653007041406443
2026-02-02,19-49,51.8,23.696948173856143
2026-02-09,19-49,46.3,21.072456837258482
2026-02-16,19-49,45.3,23.90756960136504
2026-02-23,19-49,28.1,17.35904054077726
2025-09-01,50-64,5.0,28.381200607180766
2025-09-08,50-64,4.6,24.469631037246497
2025-09-15,50-64,4.9,23.55751182716978
2025-09-22,50-64,3.7,23.428908997402807
2025-09-29,50-64,4.4,23.832415442963025
2025-10-06,50-64,7.5,24.610855747057073
2025-10-13,50-64,4.5,25.66426575892109
2025-10-20,50-64,6.4,26.928151063815857
2025-10-27,50-64,7.3,28.360457280863578
2025-11-03,50-64,12.1,29.933576852526002
2025-11-10,50-64,17.5,31.629302755128908
2025-11-17,50-64,18.5,33.43555838543802
2025-11-24,50-64,19.8,35.344232850796075
2025-12-01,50-64,17.3,37.34972325616039
2025-12-08,50-64,17.7,39.4479385748097
2025-12-15,50-64,13.9,41.635609316780005
2025-12-22,50-64,13.1,40.29580069133564
2025-12-29,50-64,13.6,36.300294011174365
2026-01-05,50-64,14.7,34.48516953980507
2026-01-12,50-64,14.7,31.680696309910502
2026-01-19,50-64,14.5,28.78479084529671
2026-01-26,50-64,14.0,25.966746545664318
2026-02-02,50-64,15.4,23.31679190229552
2026-02-09,50-64,15.3,20.87398638617658
2026-02-16,50-64,15.3,23.39606603050659
2026-02-23,50-64,8.4,17.750821708903704
2025-09-01,65+,4.7,30.062793266147178
2025-09-08,65+,4.2,25.622115919613798
2025-09-15,65+,5.1,24.044142754191643
2025-09-22,65+,3.6,23.256136704511672
2025-09-29,65+,4.9,23.101663424141833
2025-10-06,65+,6.4,23.431591217921238
2025-10-13,65+,3.5,24.12693959032527
2025-10-20,65+,6.9,25.099905756262444
2025-10-27,65+,7.7,26.288257059239484
2025-11-03,65+,10.7,27.648890646527267
2025-11-10,65+,10.8,29.152360728549464
2025-11-17,65+,12.9,30.778698508272203
2025-11-24,65+,11.9,32.51437223169984
2025-12-01,65+,10.5,34.350129354618865
2025-12-08,65+,10.6,36.27948201916085
2025-12-15,65+,9.0,38.2976476081034
2025-12-22,65+,10.0,38.05896656527458
2025-12-29,65+,9.3,38.19038430295654
2026-01-05,65+,9.0,37.677597480812025
2026-01-12,65+,9.5,35.66841680128347
2026-01-19,65+,9.7,33.08075390479085
2026-01-26,65+,9.7,30.26397418077878
2026-02-02,65+,9.8,27.436537630494705
2026-02-09,65+,8.5,24.722277853760367
2026-02-16,65+,9.1,31.340180124923272
2026-02-23,65+,6.4,21.735685050147822
