date_or_day,source_region,source_age_group,target_region,target_age_group,flow_first,flow_reinfection,flow_total
2025-09-01,Seoul,0-18,Seoul,0-18,320.3679579098783,0.0,320.3679579098783
2025-09-01,Seoul,0-18,Seoul,19-49,145.48903436257407,0.0,145.48903436257407
2025-09-01,Seoul,0-18,Seoul,50-64,31.56875819194779,0.0,31.56875819194779
2025-09-01,Seoul,0-18,Seoul,65+,11.65952792588979,0.0,11.65952792588979
2025-09-01,Seoul,0-18,Wonju,0-18,0.44000401041880005,0.0,0.44000401041880005
2025-09-01,Seoul,0-18,Wonju,19-49,0.13726097696793504,0.0,0.13726097696793504
2025-09-01,Seoul,0-18,Wonju,50-64,0.03756561831310178,0.0,0.03756561831310178
2025-09-01,Seoul,0-18,Wonju,65+,0.012468736231484838,0.0,0.012468736231484838
2025-09-01,Seoul,19-49,Seoul,0-18,134.9119685859361,0.0,134.9119685859361
2025-09-01,Seoul,19-49,Seoul,19-49,412.6055758118561,0.0,412.6055758118561
2025-09-01,Seoul,19-49,Seoul,50-64,175.34826264950493,0.0,175.34826264950493
2025-09-01,Seoul,19-49,Seoul,65+,124.10026275142467,0.0,124.10026275142467
2025-09-01,Seoul,19-49,Wonju,0-18,0.1852925854963496,0.0,0.1852925854963496
2025-09-01,Seoul,19-49,Wonju,19-49,0.38927088001156984,0.0,0.38927088001156984
2025-09-01,Seoul,19-49,Wonju,50-64,0.20865774530963266,0.0,0.20865774530963266
2025-09-01,Seoul,19-49,Wonju,65+,0.1327132155213214,0.0,0.1327132155213214
2025-09-01,Seoul,50-64,Seoul,0-18,28.94494896927032,0.0,28.94494896927032
2025-09-01,Seoul,50-64,Seoul,19-49,173.49318790161166,0.0,173.49318790161166
2025-09-01,Seoul,50-64,Seoul,50-64,192.44800667014331,0.0,192.44800667014331
2025-09-01,Seoul,50-64,Seoul,65+,173.1506905775817,0.0,173.1506905775817
2025-09-01,Seoul,50-64,Wonju,0-18,0.03975395576679097,0.0,0.03975395576679097
2025-09-01,Seoul,50-64,Wonju,19-49,0.16368137002896124,0.0,0.16368137002896124
2025-09-01,Seoul,50-64,Wonju,50-64,0.22900578856256282,0.0,0.22900578856256282
2025-09-01,Seoul,50-64,Wonju,65+,0.18516789897791278,0.0,0.18516789897791278
2025-09-01,Seoul,65+,Seoul,0-18,5.97537772282285,0.0,5.97537772282285
2025-09-01,Seoul,65+,Seoul,19-49,68.10477576653525,0.0,68.10477576653525
2025-09-01,Seoul,65+,Seoul,50-64,96.12282141778975,0.0,96.12282141778975
2025-09-01,Seoul,65+,Seoul,65+,371.36266531770815,0.0,371.36266531770815
2025-09-01,Seoul,65+,Wonju,0-18,0.008206782535189801,0.0,0.008206782535189801
2025-09-01,Seoul,65+,Wonju,19-49,0.06425314525492175,0.0,0.06425314525492175
2025-09-01,Seoul,65+,Wonju,50-64,0.11438249165848298,0.0,0.11438249165848298
2025-09-01,Seoul,65+,Wonju,65+,0.39713641491315504,0.0,0.39713641491315504
2025-09-01,Wonju,0-18,Seoul,0-18,0.34103465819659184,0.0,0.34103465819659184
2025-09-01,Wonju,0-18,Seoul,19-49,0.15487442448645317,0.0,0.15487442448645317
2025-09-01,Wonju,0-18,Seoul,50-64,0.03360523546087694,0.0,0.03360523546087694
2025-09-01,Wonju,0-18,Seoul,65+,0.012411675458686171,0.0,0.012411675458686171
2025-09-01,Wonju,0-18,Wonju,0-18,15.549173981090178,0.0,15.549173981090178
