week_start,age_group,model_rate
2025-09-01,0-18,258.4619596311483
2025-09-01,19-49,113.94505460687186
2025-09-01,50-64,138.64456877007837
2025-09-01,65+,234.07988267357902
2025-09-08,0-18,393.74299660245345
2025-09-08,19-49,147.84867318749457
2025-09-08,50-64,177.79144734803697
2025-09-08,65+,339.92342400388156
2025-09-15,0-18,614.0775727947064
2025-09-15,19-49,217.8061833871995
2025-09-15,50-64,258.441608111288
2025-09-15,65+,512.7334360339771
2025-09-22,0-18,936.9263316684758
2025-09-22,19-49,325.8331511957879
2025-09-22,50-64,382.6975450079447
2025-09-22,65+,763.4696047062931
2025-09-29,0-18,1403.3427534273983
2025-09-29,19-49,486.5048582385392
2025-09-29,50-64,567.5888729968589
2025-09-29,65+,1125.9169050778353
2025-10-06,0-18,2057.311581939256
2025-10-06,19-49,718.5349056746305
2025-10-06,50-64,834.9786606803975
2025-10-06,65+,1638.8943768355211
2025-10-13,0-18,2931.7002862839126
2025-10-13,19-49,1041.7768566496798
2025-10-13,50-64,1208.505882734699
2025-10-13,65+,2338.231171407986
2025-10-20,0-18,4019.797610139208
2025-10-20,19-49,1469.8358828382786
2025-10-20,50-64,1705.4286874695517
2025-10-20,65+,3237.7864688483464
2025-10-27,0-18,5235.47451248906
2025-10-27,19-49,1996.6270033765406
2025-10-27,50-64,2321.2192872032874
2025-10-27,65+,4298.0113328908465
2025-11-03,0-18,6385.877161683506
2025-11-03,19-49,2579.5227462761213
2025-11-03,50-64,3009.266884486708
2025-11-03,65+,5393.238271158394
2025-11-10,0-18,7202.700792146069
2025-11-10,19-49,3130.640060492371
2025-11-10,50-64,3668.4447300064908
2025-11-10,65+,6310.1198619207635
2025-11-17,0-18,7456.826188986972
2025-11-17,19-49,3533.8091757165603
2025-11-17,50-64,4160.022291443198
2025-11-17,65+,6813.752661453483
2025-11-24,0-18,7092.556848812291
2025-11-24,19-49,3691.596277152813
2025-11-24,50-64,4362.569387439233
2025-11-24,65+,6767.058791151438
2025-12-01,0-18,6259.138351031044
2025-12-01,19-49,3574.7961896168654
2025-12-01,50-64,4234.61519038764
2025-12-01,65+,6212.502973122803
2025-12-08,0-18,5207.887498384218
2025-12-08,19-49,3234.044660866431
2025-12-08,50-64,3833.564381290445
2025-12-08,65+,5337.727225945447
2025-12-15,0-18,4159.244765752752
2025-12-15,19-49,2766.1014822886054
2025-12-15,50-64,3276.406146419294
2025-12-15,65+,4362.346689892349
2025-12-22,0-18,3042.1188246067995
2025-12-22,19-49,2258.332827293321
2025-12-22,50-64,2703.5881753601175
2025-12-22,65+,3550.623691807836
2025-12-29,0-18,2938.464203162796
2025-12-29,19-49,2574.104127077182
2025-12-29,50-64,3216.6618663230247
2025-12-29,65+,4359.764167806912
2026-01-05,0-18,2721.6542345369608
2026-01-05,19-49,2536.2619423933716
2026-01-05,50-64,3219.128893523894
2026-01-05,65+,4283.700920103002
2026-01-12,0-18,2520.185843101301
2026-01-12,19-49,2420.3173904217124
2026-01-12,50-64,3072.251111551723
2026-01-12,65+,3971.0304610197422
2026-01-19,0-18,2306.953622682383
2026-01-19,19-49,2236.3682836104754
2026-01-19,50-64,2814.0988420791864
2026-01-19,65+,3523.20422775999
2026-01-26,0-18,2079.956383362033
2026-01-26,19-49,2008.884652248219
2026-01-26,50-64,2496.286825457185
2026-01-26,65+,3036.743180550032
2026-02-02,0-18,1848.1283151701273
2026-02-02,19-49,1764.3715765888378
2026-02-02,50-64,2163.7731208501955
2026-02-02,65+,2574.5359572884436
2026-02-09,0-18,1623.1934724615508
2026-02-09,19-49,1524.710757853667
2026-02-09,50-64,1847.730659394995
2026-02-09,65+,2167.4132209834374
2026-02-16,0-18,1333.0700065952167
2026-02-16,19-49,1244.517706446381
2026-02-16,50-64,1439.691113661269
2026-02-16,65+,1747.462748459174
2026-02-23,0-18,1189.018741870445
2026-02-23,19-49,1073.0474620899865
2026-02-23,50-64,1278.2827033037195
2026-02-23,65+,1496.7203248745755
2026-03-02,0-18,847.9625219963193
2026-03-02,19-49,640.1367789989158
2026-03-02,50-64,724.6448143918665
2026-03-02,65+,790.4686658894494
2026-03-09,0-18,623.5572481436803
2026-03-09,19-49,438.78325908765703
2026-03-09,50-64,484.7669571840798
2026-03-09,65+,525.244383407047
2026-03-16,0-18,456.73843879634205
2026-03-16,19-49,303.92528535788114
2026-03-16,50-64,330.0705908046931
2026-03-16,65+,358.8841907608019
2026-03-23,0-18,335.93042706482805
2026-03-23,19-49,213.6389463248815
2026-03-23,50-64,229.42461842022664
2026-03-23,65+,252.06171177620834
2026-03-30,0-18,249.1279135216496
2026-03-30,19-49,152.55328638253914
2026-03-30,50-64,162.68974864372674
2026-03-30,65+,181.37381261127655
2026-04-06,0-18,186.75060728355498
2026-04-06,19-49,110.71266343471983
2026-04-06,50-64,117.60416973298736
2026-04-06,65+,133.35674656419866
2026-04-13,0-18,141.7087156356234
2026-04-13,19-49,81.66942277210457
2026-04-13,50-64,86.59076553864423
2026-04-13,65+,99.98591880513959
