week_start,age_group,observed_rate,model_rate
2025-09-01,0-18,8.926315789473684,258.4619596311483
2025-09-08,0-18,9.136842105263158,393.74299660245345
2025-09-15,0-18,10.868421052631579,614.0775727947064
2025-09-22,0-18,14.842105263157896,936.9263316684758
2025-09-29,0-18,21.899999999999995,1403.3427534273983
2025-10-06,0-18,19.810526315789474,2057.311581939256
2025-10-13,0-18,13.336842105263159,2931.7002862839126
2025-10-20,0-18,23.978947368421057,4019.797610139208
2025-10-27,0-18,45.86842105263158,5235.47451248906
2025-11-03,0-18,95.34736842105262,6385.877161683506
2025-11-10,0-18,124.75789473684209,7202.700792146069
2025-11-17,0-18,136.75263157894736,7456.826188986972
2025-11-24,0-18,135.89473684210526,7092.556848812291
2025-12-01,0-18,113.15789473684211,6259.138351031044
2025-12-08,0-18,97.82105263157895,5207.887498384218
2025-12-15,0-18,83.1263157894737,4159.244765752752
2025-12-22,0-18,75.14736842105263,3042.1188246067995
2025-12-29,0-18,72.90526315789474,2938.464203162796
2026-01-05,0-18,88.38421052631578,2721.6542345369608
2026-01-12,0-18,95.66842105263159,2520.185843101301
2026-01-19,0-18,99.15263157894736,2306.953622682383
2026-01-26,0-18,94.98947368421052,2079.956383362033
2026-02-02,0-18,109.3894736842105,1848.1283151701273
2026-02-09,0-18,100.66315789473686,1623.1934724615508
2026-02-16,0-18,85.98421052631578,1333.0700065952167
2026-02-23,0-18,44.51052631578948,1189.018741870445
2026-03-02,0-18,36.94736842105263,847.9625219963193
2026-03-09,0-18,35.70526315789474,623.5572481436803
2026-03-16,0-18,37.257894736842104,456.73843879634205
2026-03-23,0-18,34.83157894736842,335.93042706482805
2026-03-30,0-18,28.484210526315792,249.1279135216496
2026-04-06,0-18,21.573684210526316,186.75060728355498
2026-04-13,0-18,17.173684210526318,141.7087156356234
2025-09-01,19-49,8.1,113.94505460687186
2025-09-08,19-49,8.7,147.84867318749457
2025-09-15,19-49,9.3,217.8061833871995
2025-09-22,19-49,8.6,325.8331511957879
2025-09-29,19-49,11.4,486.5048582385392
2025-10-06,19-49,17.6,718.5349056746305
2025-10-13,19-49,9.2,1041.7768566496798
2025-10-20,19-49,11.8,1469.8358828382786
2025-10-27,19-49,15.7,1996.6270033765406
2025-11-03,19-49,34.7,2579.5227462761213
2025-11-10,19-49,50.7,3130.640060492371
2025-11-17,19-49,60.0,3533.8091757165603
2025-11-24,19-49,63.0,3691.596277152813
2025-12-01,19-49,59.3,3574.7961896168654
2025-12-08,19-49,50.5,3234.044660866431
2025-12-15,19-49,39.0,2766.1014822886054
2025-12-22,19-49,37.7,2258.332827293321
2025-12-29,19-49,38.2,2574.104127077182
2026-01-05,19-49,44.2,2536.2619423933716
2026-01-12,19-49,44.8,2420.3173904217124
2026-01-19,19-49,49.3,2236.3682836104754
2026-01-26,19-49,48.9,2008.884652248219
2026-02-02,19-49,51.8,1764.3715765888378
2026-02-09,19-49,46.3,1524.710757853667
2026-02-16,19-49,45.3,1244.517706446381
2026-02-23,19-49,28.1,1073.0474620899865
2026-03-02,19-49,21.7,640.1367789989158
2026-03-09,19-49,14.2,438.78325908765703
2026-03-16,19-49,15.5,303.92528535788114
2026-03-23,19-49,13.6,213.6389463248815
2026-03-30,19-49,12.6,152.55328638253914
2026-04-06,19-49,9.4,110.71266343471983
2026-04-13,19-49,9.4,81.66942277210457
2025-09-01,50-64,5.0,138.64456877007837
2025-09-08,50-64,4.6,177.79144734803697
2025-09-15,50-64,4.9,258.441608111288
