date_or_day,total_new_first_infections,total_new_reinfections,total_new_infections,total_active_infected,total_active_infected_per_100k,total_recovered,total_recovered_per_100k,cross_region_flow_share,elderly_new_infections,elderly_active_infected,elderly_active_infected_per_100k,elderly_ever_infected_rate,elderly_reinfection_share
2025-09-01,2568.021809680522,0.0,2568.021809680522,7734.238399999999,80.0,1933.5596,20.0,0.002090921862423964,707.4332158388399,1594.6576,80.0,0.0013549016244434088,0.0
2025-09-02,2053.8689613031074,0.0,2053.8689613031074,7471.40162484026,77.28131705730985,3470.739482,35.9,0.002090912447422131,565.7656176120838,1629.44268791942,81.74508122217183,0.0016387321433520995,0.0
2025-09-03,2014.9826583986587,0.001412710099004212,2014.9840711087577,7646.061232943892,79.08792915350415,4947.666109558053,51.17676341146198,0.002093589819390725,557.0205921538784,1763.295263101288,88.46013153425729,0.0019181753048600491,7.011779452510389e-07
2025-09-04,2095.3438775130317,0.0041067606314428825,2095.3479842736633,7958.810988445334,82.32289284949204,6452.140025599041,66.7384654251055,0.002096315475497798,581.323330379234,1919.0170629408456,96.27230637803855,0.002209810169104962,1.960204780575108e-06
2025-09-05,2211.799123476223,0.008334480519376939,2211.8074579567424,8335.70378393821,86.22132758605642,8011.641523160112,82.86935166787838,0.0020987260724681755,614.5440227720397,2080.0657417722005,104.35171747325322,0.002518110431451059,3.786924963891171e-06
2025-09-06,2275.842030123012,0.01396550350927426,2275.8559956265212,8758.794252719912,90.59761336262831,9638.724072331956,99.69927042675027,0.005369512212244438,795.4636591697154,2243.7506505135425,112.56338165702995,0.002917172252123957,6.226132467254215e-06
2025-09-07,2408.092749346129,0.021931895472738615,2408.114681241602,9190.079012773862,95.0586577499226,11342.289302514277,117.32029674714217,0.00536989335866651,844.4153609808476,2482.581378543583,124.54492442985043,0.0033407904544293567,9.330390839209621e-06
2025-09-08,2618.425574824178,0.033535745010757845,2618.459110569189,9647.642356138853,99.79151773898103,13123.593658556476,135.74542681339096,0.002102446456009947,743.1073206019804,2752.0632123916644,138.06415683926954,0.0037135839850301012,1.3153682274246488e-05
2025-09-09,2744.870927779567,0.047088645470832906,2744.918016425038,10175.133013155562,105.24767908013347,14987.504161491466,155.02500322712024,0.0021012513797745804,803.9489180397687,2956.2032849927205,148.30535583276162,0.004116897974174169,1.7750594375810073e-05
2025-09-10,2911.6212633931955,0.0648013383404852,2911.686064731536,10741.074982859207,111.10156607387957,16947.59324331512,175.29941402701132,0.002102250101321008,853.483102616634,3144.2134445537554,157.7373572635909,0.004545059254536294,2.3202477749299664e-05
2025-09-11,3095.298519400666,0.08713609323191247,3095.385655493898,11349.18730482051,117.39164704124467,19011.070273670386,196.64323017165216,0.0021037183718959854,900.831479655219,3331.7377152311105,167.1449828593228,0.004996970593509393,2.960113091855861e-05
2025-09-12,3293.1379090081723,0.11490396568367059,3293.252812973856,12005.206330869933,124.17725660869138,21185.852383266134,219.1383434290428,0.002105230574775067,949.190039074165,3523.989391806552,176.78977063447613,0.005473137968752652,3.7015053056505265e-05
2025-09-13,3377.6049248567565,0.140989948832999,3377.7459148055896,12713.719714689636,131.50584770895748,23480.96438752379,242.87810303363588,0.005369704031851248,1228.4025945397427,3723.086142793156,186.7779587439037,0.006089368910246451,4.550770214205614e-05
2025-09-14,3584.4587551123927,0.17946998846492382,3584.6382251008577,13414.626054151347,138.75575445568214,25906.303508524095,267.9648820602592,0.0053701797136524836,1296.804939295142,4044.6175261783533,202.90838741449465,0.006739907774416383,5.514282667978666e-05
2025-09-15,3925.3453751235847,0.23823948111743162,3925.5836146047022,14145.845097071327,146.31920419801207,28459.697201811745,294.3762085410943,0.0021068681169749974,1130.2975142601133,4417.170796562167,221.59845707628608,0.007306912469960384,6.59830959477046e-05
