date_or_day,region,age_group,S0,E0,I0,R,S1,E1,I1,active_I,susceptible_total,population
initial_state,Seoul,0-18,1097812.089,0.0,1098.911,0.0,0.0,0.0,0.0,1098.911,1097812.089,1098911.0
initial_state,Seoul,19-49,4147436.412,0.0,4151.588,0.0,0.0,0.0,0.0,4151.588,4147436.412,4151588.0
initial_state,Seoul,50-64,2132661.204,0.0,2134.796,0.0,0.0,0.0,0.0,2134.796,2132661.204,2134796.0
initial_state,Seoul,65+,1916915.166,0.0,1918.834,0.0,0.0,0.0,0.0,1918.834,1916915.166,1918834.0
initial_state,Wonju,0-18,54732.213,0.0,54.787,0.0,0.0,0.0,0.0,54.787,54732.213,54787.0
initial_state,Wonju,19-49,142037.82,0.0,142.18,0.0,0.0,0.0,0.0,142.18,142037.82,142180.0
initial_state,Wonju,50-64,92121.786,0.0,92.214,0.0,0.0,0.0,0.0,92.214,92121.786,92214.0
initial_state,Wonju,65+,74413.512,0.0,74.488,0.0,0.0,0.0,0.0,74.488,74413.512,74488.0
2025-09-01,Seoul,0-18,1097321.3669241027,490.7220758972837,879.1288000000001,219.78220000000002,0.0,0.0,0.0,879.1288000000001,1097321.3669241027,1098911.0
2025-09-01,Seoul,19-49,4146635.8681460065,800.5438539935699,3321.2704,830.3176,0.0,0.0,0.0,3321.2704,4146635.8681460065,4151588.0
2025-09-01,Seoul,50-64,2132165.1886996664,496.01530033339833,1707.8367999999998,426.9592,0.0,0.0,0.0,1707.8367999999998,2132165.1886996664,2134796.0
2025-09-01,Seoul,65+,1916234.1686963628,680.9973036372973,1535.0672,383.76680000000005,0.0,0.0,0.0,1535.0672,1916234.1686963628,1918834.0
2025-09-01,Wonju,0-18,54707.74769719369,24.465302806309595,43.8296,10.9574,0.0,0.0,0.0,43.8296,54707.74769719369,54787.0
2025-09-01,Wonju,19-49,142010.40366553696,27.416334463055044,113.744,28.436000000000003,0.0,0.0,0.0,113.744,142010.40366553696,142180.0
2025-09-01,Wonju,50-64,92100.36027365192,21.425726348065105,73.7712,18.442800000000002,0.0,0.0,0.0,73.7712,92100.36027365192,92214.0
2025-09-01,Wonju,65+,74387.07608779846,26.43591220154271,59.5904,14.8976,0.0,0.0,0.0,59.5904,74387.07608779846,74488.0
2025-09-02,Seoul,0-18,1096928.9472021083,637.7807599432728,948.6640779486419,394.50904900000006,1.0989110000000002,0.0,0.0,948.6640779486419,1096930.0461131083,1098911.0
2025-09-02,Seoul,19-49,4145995.544320134,1040.5957528692586,3057.288246996785,1490.420092,4.151588,0.0,0.0,3057.288246996785,4145999.695908134,4151588.0
2025-09-02,Seoul,50-64,2131768.4595223796,644.7368274535094,1614.277090166699,766.391764,2.134796,0.0,0.0,1614.277090166699,2131770.5943183796,2134796.0
2025-09-02,Seoul,65+,1915689.5450464431,885.1223017382629,1568.5524118186486,688.8614060000001,1.9188340000000004,0.0,0.0,1568.5524118186486,1915691.463880443,1918834.0
2025-09-02,Wonju,0-18,54688.183329097534,31.79701949931532,47.296331403154795,19.668533,0.054787,0.0,0.0,47.296331403154795,54688.238116097535,54787.0
2025-09-02,Wonju,19-49,141988.4744082112,35.637424557290174,104.70336723152752,51.04262000000001,0.14218000000000003,0.0,0.0,104.70336723152752,141988.61658821118,142180.0
2025-09-02,Wonju,50-64,92083.22328053675,27.84985628921822,69.72982317403255,33.104826,0.092214,0.0,0.0,69.72982317403255,92083.31549453676,92214.0
2025-09-02,Wonju,65+,74365.93412010599,34.35992379324096,60.89027610077136,26.741192,0.074488,0.0,0.0,60.89027610077136,74366.00860810599,74488.0
2025-09-03,Seoul,0-18,1096526.1375332207,721.7000488590377,1077.8216423305498,582.2693193447285,3.0711737531810317,0.0002824918189684834,0.0,1077.8216423305498,1096529.2087069738,1098911.0
2025-09-03,Seoul,19-49,4145378.7797493576,1137.0624472106902,2966.128474032057,2094.425640939357,11.603256132793485,0.00043232720651574546,0.0,2966.128474032057,4145390.3830054905,4151588.0
2025-09-03,Seoul,50-64,2131387.722301348,703.105634758032,1613.7900858601138,1085.41522321334,5.966487918288092,0.0002669017119088827,0.0,1613.7900858601138,2131393.6887892666,2134796.0
2025-09-03,Seoul,65+,1915153.3400070742,978.7661902380522,1697.4030803240503,999.1275813337298,5.362765054588638,0.0003759754113636188,0.0,1697.4030803240503,1915158.7027721289,1918834.0
2025-09-03,Wonju,0-18,54668.100962709956,35.98087613723048,53.7355748721815,29.02945661563096,0.15311558116674523,1.4083833254764306e-05,0.0,53.7355748721815,54668.254078291124,54787.0
2025-09-03,Wonju,19-49,141967.35198790528,38.9411325845474,101.58140606386709,71.7280803463055,0.3973782940312425,1.4805968757595575e-05,0.0,101.58140606386709,141967.7493661993,142180.0
2025-09-03,Wonju,50-64,92066.77707110964,30.37113757172917,69.70878668383514,46.88526650480651,0.25772660099467026,1.1529005329767204e-05,0.0,69.70878668383514,92067.03479771063,92214.0
2025-09-03,Wonju,65+,74345.11895789158,37.995124111023685,65.89218277723757,38.785541260154275,0.20817936485709465,1.4595142905354622e-05,0.0,65.89218277723757,74345.32713725643,74488.0
2025-09-04,Seoul,0-18,1096088.3993131388,798.5882445113137,1223.1073382939585,794.9223012141148,5.981662079936096,0.000999515878062809,0.0001412459094842417,1223.1074795398679,1096094.3809752187,1098911.0
2025-09-04,Seoul,19-49,4144749.5270240954,1197.7839488679142,2941.4340028309907,2677.1792075410717,22.07415137832455,0.001449122768978568,0.00021616360325787273,2941.434218994594,4144771.6011754735,4151588.0
2025-09-04,Seoul,50-64,2131000.7796746125,738.4954441146322,1642.584886067107,1402.746164269296,11.392805783779115,0.0008917014316320919,0.00013345085595444135,1642.5850195179628,2131012.1724803965,2134796.0
2025-09-04,Seoul,65+,1914593.7411139756,1048.9819882176112,1847.3055593782665,1333.6125594918713,10.357306030681622,0.0012849182813467533,0.0001879877056818094,1847.3057473659721,1914604.0984200062,1918834.0
2025-09-04,Wonju,0-18,54646.27720822609,39.814192552482716,60.97889796636045,39.63142430698911,0.2982200745769756,4.9831584551821855e-05,7.041916627382153e-06,60.978905008277074,54646.57542830067,54787.0
2025-09-04,Wonju,19-49,141945.8018840708,41.02067012671779,100.73569114336738,91.68572115734739,0.7559764704421981,4.962830495062922e-05,7.402984378797787e-06,100.73569854635176,141946.55786054124,142180.0
2025-09-04,Wonju,50-64,92050.06281486135,31.89982503414223,70.9525981329327,60.592597509049504,0.49212018035700233,3.851766436536406e-05,5.764502664883602e-06,70.95260389743537,92050.5549350417,92214.0
2025-09-04,Wonju,65+,74323.39566012372,40.720859823389326,71.7113082773019,51.77005010930102,0.40206448896226177,4.98797670569507e-05,7.297571452677311e-06,71.71131557487335,74323.79772461268,74488.0
2025-09-05,Seoul,0-18,1095608.4553692883,879.2380661062934,1377.7799928908237,1035.5691856160176,9.954440033383898,0.002333310561802842,0.0006127546666187979,1377.7806056454904,1095618.4098093216,1098911.0
2025-09-05,Seoul,19-49,4144095.9197585983,1252.4992399307462,2952.03917669875,3252.080155302285,35.4576106663902,0.00316131102419524,0.0008974922670955821,2952.040074191017,4144131.3773692646,4151588.0
2025-09-05,Seoul,50-64,2130600.6686583846,769.3587382855845,1683.3156309110018,1724.2494373515422,18.40503920499602,0.0019432508453920555,0.000552611400579599,1683.3161835224023,2130619.07369759,2134796.0
2025-09-05,Seoul,65+,1914002.164088377,1116.0680197071194,2002.3354416114184,1696.4056461676064,17.023128561850953,0.0028827254306964573,0.0007928493052188243,2002.3362344607237,1914019.187216939,1918834.0
