week_start,age_group,model_rate
2025-09-01,0-18,31.937794810595072
2025-09-01,19-49,16.818646230682152
2025-09-01,50-64,12.84450530199955
2025-09-01,65+,10.037019494710131
2025-09-08,0-18,36.398777241660966
2025-09-08,19-49,15.053506065742063
2025-09-08,50-64,10.023067409126693
2025-09-08,65+,6.970778393870441
2025-09-15,0-18,41.700206612275714
2025-09-15,19-49,15.086191106285419
2025-09-15,50-64,9.128392642617777
2025-09-15,65+,5.80596591778259
2025-09-22,0-18,46.54630360592626
2025-09-22,19-49,15.635836140176961
2025-09-22,50-64,8.899370563215651
2025-09-22,65+,5.323617950392501
2025-09-29,0-18,51.262452323274175
2025-09-29,19-49,16.540034123807782
2025-09-29,50-64,9.079108607270012
2025-09-29,65+,5.228163110626991
2025-10-06,0-18,56.0507515613192
2025-10-06,19-49,17.700441333482217
2025-10-06,50-64,9.520289610462928
2025-10-06,65+,5.362737300853919
2025-10-13,0-18,61.039190171337474
2025-10-13,19-49,19.060615440206348
2025-10-13,50-64,10.139240801915811
2025-10-13,65+,5.6422596551597675
2025-10-20,0-18,66.31193725529779
2025-10-20,19-49,20.590195672466066
2025-10-20,50-64,10.889305269593882
2025-10-20,65+,6.020238506394583
2025-10-27,0-18,71.92752495251072
2025-10-27,19-49,22.274586674022423
2025-10-27,50-64,11.745312807381321
2025-10-27,65+,6.471442648485292
2025-11-03,0-18,77.92951842576625
2025-11-03,19-49,24.108560208695025
2025-11-03,50-64,12.694550889344702
2025-11-03,65+,6.982555505692966
2025-11-10,0-18,84.35264632099552
2025-11-10,19-49,26.092379609097442
2025-11-10,50-64,13.731518897310224
2025-11-10,65+,7.547012160271419
2025-11-17,0-18,91.22622182674115
2025-11-17,19-49,28.229468932788656
2025-11-17,50-64,14.854874471952462
2025-11-17,65+,8.162095885395136
2025-11-24,0-18,98.5759501609265
2025-11-24,19-49,30.524999825807946
2025-11-24,50-64,16.065645091655814
2025-11-24,65+,8.827281299583323
2025-12-01,0-18,106.42476796240501
2025-12-01,19-49,32.985011357023716
2025-12-01,50-64,17.366166625772877
2025-12-01,65+,9.543274483532066
2025-12-08,0-18,114.7930909627095
2025-12-08,19-49,35.61583220873863
2025-12-08,50-64,18.759436833437537
2025-12-08,65+,10.311445309755664
2025-12-15,0-18,123.69868820285625
2025-12-15,19-49,38.42366879274007
2025-12-15,50-64,20.24870306490505
2025-12-15,65+,11.133480505035902
2025-12-22,0-18,114.04666389925077
2025-12-22,19-49,37.557593990525625
2025-12-22,50-64,20.005426728295998
2025-12-22,65+,11.427080283209806
2025-12-29,0-18,89.62073306143976
2025-12-29,19-49,35.917036227490634
2025-12-29,50-64,20.16008150182255
2025-12-29,65+,12.617339508966069
2026-01-05,0-18,77.64426649384892
2026-01-05,19-49,32.72116781204784
2026-01-05,50-64,19.18446269364159
2026-01-05,65+,12.40572745373679
2026-01-12,0-18,67.92441475769584
2026-01-12,19-49,29.47127912149992
2026-01-12,50-64,17.740604420400192
2026-01-12,65+,11.719976228828273
2026-01-19,0-18,59.81168699606485
2026-01-19,19-49,26.392310072066845
2026-01-19,50-64,16.138673339606864
2026-01-19,65+,10.807200228142916
2026-01-26,0-18,52.867283309200886
2026-01-26,19-49,23.561356545002027
2026-01-26,50-64,14.543706775315297
2026-01-26,65+,9.822087313946664
2026-02-02,0-18,46.83069104847181
2026-02-02,19-49,20.99610811967648
2026-02-02,50-64,13.03393434512737
2026-02-02,65+,8.848924718782264
2026-02-09,0-18,41.53462679332577
2026-02-09,19-49,18.689593550556054
2026-02-09,50-64,11.642125969615535
2026-02-09,65+,7.929781953568493
2026-02-16,0-18,24.62762347729679
2026-02-16,19-49,13.605988206707622
2026-02-16,50-64,8.847099390231906
2026-02-16,65+,7.8123165665898044
2026-02-23,0-18,26.625329797225486
2026-02-23,19-49,12.589225602776374
2026-02-23,50-64,8.179489647534231
2026-02-23,65+,5.8734196014206885
2026-03-02,0-18,32.9748519661055
2026-03-02,19-49,12.287174547517125
2026-03-02,50-64,7.443039875822871
2026-03-02,65+,4.700784084708933
2026-03-09,0-18,36.35650899901873
2026-03-09,19-49,12.501299301953479
2026-03-09,50-64,7.172653078973761
2026-03-09,65+,4.297368866338936
2026-03-16,0-18,39.600008939339745
2026-03-16,19-49,13.03067121453
2026-03-16,50-64,7.219018181098768
2026-03-16,65+,4.177001740902865
2026-03-23,0-18,42.8047322248416
2026-03-23,19-49,13.759594746646487
2026-03-23,50-64,7.467862736269207
2026-03-23,65+,4.230732006153845
2026-03-30,0-18,46.077334197152226
2026-03-30,19-49,14.63003508565268
2026-03-30,50-64,7.849624272825081
2026-03-30,65+,4.393400279474083
2026-04-06,0-18,49.483091536675424
2026-04-06,19-49,15.611314604287399
2026-04-06,50-64,8.32416169808931
2026-04-06,65+,4.627783602830992
2026-04-13,0-18,53.064010911675155
2026-04-13,19-49,16.68774217359337
2026-04-13,50-64,8.869016152357478
2026-04-13,65+,4.91285826390374
