week_start,age_group,observed_rate
2025-09-01,0-18,8.926315789473684
2025-09-08,0-18,9.136842105263158
2025-09-15,0-18,10.868421052631579
2025-09-22,0-18,14.842105263157896
2025-09-29,0-18,21.899999999999995
2025-10-06,0-18,19.810526315789474
2025-10-13,0-18,13.336842105263159
2025-10-20,0-18,23.978947368421057
2025-10-27,0-18,45.86842105263158
2025-11-03,0-18,95.34736842105262
2025-11-10,0-18,124.75789473684209
2025-11-17,0-18,136.75263157894736
2025-11-24,0-18,135.89473684210526
2025-12-01,0-18,113.15789473684211
2025-12-08,0-18,97.82105263157895
2025-12-15,0-18,83.1263157894737
2025-12-22,0-18,75.14736842105263
2025-12-29,0-18,72.90526315789474
2026-01-05,0-18,88.38421052631578
2026-01-12,0-18,95.66842105263159
2026-01-19,0-18,99.15263157894736
2026-01-26,0-18,94.98947368421052
2026-02-02,0-18,109.3894736842105
2026-02-09,0-18,100.66315789473686
2026-02-16,0-18,85.98421052631578
2026-02-23,0-18,44.51052631578948
2026-03-02,0-18,36.94736842105263
2026-03-09,0-18,35.70526315789474
2026-03-16,0-18,37.257894736842104
2026-03-23,0-18,34.83157894736842
2026-03-30,0-18,28.484210526315792
2026-04-06,0-18,21.573684210526316
2026-04-13,0-18,17.173684210526318
2025-09-01,19-49,8.1
2025-09-08,19-49,8.7
2025-09-15,19-49,9.3
2025-09-22,19-49,8.6
2025-09-29,19-49,11.4
2025-10-06,19-49,17.6
2025-10-13,19-49,9.2
2025-10-20,19-49,11.8
2025-10-27,19-49,15.7
2025-11-03,19-49,34.7
2025-11-10,19-49,50.7
2025-11-17,19-49,60.0
2025-11-24,19-49,63.0
2025-12-01,19-49,59.3
2025-12-08,19-49,50.5
2025-12-15,19-49,39.0
2025-12-22,19-49,37.7
2025-12-29,19-49,38.2
2026-01-05,19-49,44.2
2026-01-12,19-49,44.8
2026-01-19,19-49,49.3
2026-01-26,19-49,48.9
2026-02-02,19-49,51.8
2026-02-09,19-49,46.3
2026-02-16,19-49,45.3
2026-02-23,19-49,28.1
2026-03-02,19-49,21.7
2026-03-09,19-49,14.2
2026-03-16,19-49,15.5
2026-03-23,19-49,13.6
2026-03-30,19-49,12.6
2026-04-06,19-49,9.4
2026-04-13,19-49,9.4
2025-09-01,50-64,5.0
2025-09-08,50-64,4.6
2025-09-15,50-64,4.9
2025-09-22,50-64,3.7
2025-09-29,50-64,4.4
2025-10-06,50-64,7.5
2025-10-13,50-64,4.5
2025-10-20,50-64,6.4
2025-10-27,50-64,7.3
2025-11-03,50-64,12.1
2025-11-10,50-64,17.5
2025-11-17,50-64,18.5
2025-11-24,50-64,19.8
2025-12-01,50-64,17.3
2025-12-08,50-64,17.7
2025-12-15,50-64,13.9
2025-12-22,50-64,13.1
2025-12-29,50-64,13.6
2026-01-05,50-64,14.7
2026-01-12,50-64,14.7
2026-01-19,50-64,14.5
2026-01-26,50-64,14.0
2026-02-02,50-64,15.4
2026-02-09,50-64,15.3
2026-02-16,50-64,15.3
2026-02-23,50-64,8.4
2026-03-02,50-64,7.0
2026-03-09,50-64,6.0
2026-03-16,50-64,6.4
2026-03-23,50-64,5.8
2026-03-30,50-64,6.0
2026-04-06,50-64,4.2
2026-04-13,50-64,6.0
2025-09-01,65+,4.7
2025-09-08,65+,4.2
2025-09-15,65+,5.1
2025-09-22,65+,3.6
2025-09-29,65+,4.9
2025-10-06,65+,6.4
2025-10-13,65+,3.5
2025-10-20,65+,6.9
2025-10-27,65+,7.7
2025-11-03,65+,10.7
2025-11-10,65+,10.8
2025-11-17,65+,12.9
2025-11-24,65+,11.9
2025-12-01,65+,10.5
2025-12-08,65+,10.6
2025-12-15,65+,9.0
2025-12-22,65+,10.0
2025-12-29,65+,9.3
2026-01-05,65+,9.0
2026-01-12,65+,9.5
2026-01-19,65+,9.7
2026-01-26,65+,9.7
2026-02-02,65+,9.8
2026-02-09,65+,8.5
2026-02-16,65+,9.1
2026-02-23,65+,6.4
2026-03-02,65+,5.0
2026-03-09,65+,3.5
2026-03-16,65+,4.1
2026-03-23,65+,4.0
2026-03-30,65+,4.9
2026-04-06,65+,3.2
2026-04-13,65+,4.6
