date_or_day,source_region,source_age_group,target_region,target_age_group,flow_first,flow_reinfection,flow_total
2025-09-01,Seoul,0-18,Seoul,0-18,46.36350400964598,0.0,46.36350400964598
2025-09-01,Seoul,0-18,Seoul,19-49,26.315931534482374,0.0,26.315931534482374
2025-09-01,Seoul,0-18,Seoul,50-64,3.7208367179288655,0.0,3.7208367179288655
2025-09-01,Seoul,0-18,Seoul,65+,0.7087631834324654,0.0,0.7087631834324654
2025-09-01,Seoul,0-18,Wonju,0-18,0.06367717868667454,0.0,0.06367717868667454
2025-09-01,Seoul,0-18,Wonju,19-49,0.024827647582308356,0.0,0.024827647582308356
2025-09-01,Seoul,0-18,Wonju,50-64,0.00442765379307009,0.0,0.00442765379307009
2025-09-01,Seoul,0-18,Wonju,65+,0.0007579536016362769,0.0,0.0007579536016362769
2025-09-01,Seoul,19-49,Seoul,0-18,19.524398249099722,0.0,19.524398249099722
2025-09-01,Seoul,19-49,Seoul,19-49,74.63174205109469,0.0,74.63174205109469
2025-09-01,Seoul,19-49,Seoul,50-64,20.667339846701044,0.0,20.667339846701044
2025-09-01,Seoul,19-49,Seoul,65+,7.543847216763943,0.0,7.543847216763943
2025-09-01,Seoul,19-49,Wonju,0-18,0.02681545803352259,0.0,0.02681545803352259
2025-09-01,Seoul,19-49,Wonju,19-49,0.07041098232340298,0.0,0.07041098232340298
2025-09-01,Seoul,19-49,Wonju,50-64,0.024593346228815594,0.0,0.024593346228815594
2025-09-01,Seoul,19-49,Wonju,65+,0.00806741419672635,0.0,0.00806741419672635
2025-09-01,Seoul,50-64,Seoul,0-18,4.188899746251382,0.0,4.188899746251382
2025-09-01,Seoul,50-64,Seoul,19-49,31.381298766062688,0.0,31.381298766062688
2025-09-01,Seoul,50-64,Seoul,50-64,22.682793068912513,0.0,22.682793068912513
2025-09-01,Seoul,50-64,Seoul,65+,10.525540609135005,0.0,10.525540609135005
2025-09-01,Seoul,50-64,Wonju,0-18,0.00575317425505889,0.0,0.00575317425505889
2025-09-01,Seoul,50-64,Wonju,19-49,0.029606545579358597,0.0,0.029606545579358597
2025-09-01,Seoul,50-64,Wonju,50-64,0.026991658700061896,0.0,0.026991658700061896
2025-09-01,Seoul,50-64,Wonju,65+,0.011256046589816895,0.0,0.011256046589816895
2025-09-01,Seoul,65+,Seoul,0-18,0.8647539248890163,0.0,0.8647539248890163
2025-09-01,Seoul,65+,Seoul,19-49,12.318733326505985,0.0,12.318733326505985
2025-09-01,Seoul,65+,Seoul,50-64,11.329470775744944,0.0,11.329470775744944
2025-09-01,Seoul,65+,Seoul,65+,22.574514727486918,0.0,22.574514727486918
2025-09-01,Seoul,65+,Wonju,0-18,0.0011876818064420816,0.0,0.0011876818064420816
2025-09-01,Seoul,65+,Wonju,19-49,0.01162205370880266,0.0,0.01162205370880266
2025-09-01,Seoul,65+,Wonju,50-64,0.013481638151976233,0.0,0.013481638151976233
2025-09-01,Seoul,65+,Wonju,65+,0.024141257817633602,0.0,0.024141257817633602
2025-09-01,Wonju,0-18,Seoul,0-18,0.049354379401368935,0.0,0.049354379401368935
2025-09-01,Wonju,0-18,Seoul,19-49,0.02801355283636616,0.0,0.02801355283636616
2025-09-01,Wonju,0-18,Seoul,50-64,0.003960865145762045,0.0,0.003960865145762045
2025-09-01,Wonju,0-18,Seoul,65+,0.0007544849727831226,0.0,0.0007544849727831226
2025-09-01,Wonju,0-18,Wonju,0-18,2.2502693306855464,0.0,2.2502693306855464
2025-09-01,Wonju,0-18,Wonju,19-49,0.8773770298844772,0.0,0.8773770298844772
2025-09-01,Wonju,0-18,Wonju,50-64,0.15646757194542843,0.0,0.15646757194542843
2025-09-01,Wonju,0-18,Wonju,65+,0.02678510227717875,0.0,0.02678510227717875
2025-09-01,Wonju,19-49,Seoul,0-18,0.02078390275612063,0.0,0.02078390275612063
2025-09-01,Wonju,19-49,Seoul,19-49,0.07944618059516145,0.0,0.07944618059516145
2025-09-01,Wonju,19-49,Seoul,50-64,0.022000574671812906,0.0,0.022000574671812906
2025-09-01,Wonju,19-49,Seoul,65+,0.008030495227553698,0.0,0.008030495227553698
2025-09-01,Wonju,19-49,Wonju,0-18,0.9476236863136773,0.0,0.9476236863136773
2025-09-01,Wonju,19-49,Wonju,19-49,2.488233262428644,0.0,2.488233262428644
2025-09-01,Wonju,19-49,Wonju,50-64,0.8690971223763704,0.0,0.8690971223763704
2025-09-01,Wonju,19-49,Wonju,65+,0.28509200814560376,0.0,0.28509200814560376
2025-09-01,Wonju,50-64,Seoul,0-18,0.0044591225742509925,0.0,0.0044591225742509925
2025-09-01,Wonju,50-64,Seoul,19-49,0.03340568316591728,0.0,0.03340568316591728
2025-09-01,Wonju,50-64,Seoul,50-64,0.024146043292434013,0.0,0.024146043292434013
2025-09-01,Wonju,50-64,Seoul,65+,0.011204535457882699,0.0,0.011204535457882699
2025-09-01,Wonju,50-64,Wonju,0-18,0.20330975472312943,0.0,0.20330975472312943
2025-09-01,Wonju,50-64,Wonju,19-49,1.0462571187802368,0.0,1.0462571187802368
2025-09-01,Wonju,50-64,Wonju,50-64,0.9538503905134776,0.0,0.9538503905134776
2025-09-01,Wonju,50-64,Wonju,65+,0.39777416255304543,0.0,0.39777416255304543
2025-09-01,Wonju,65+,Seoul,0-18,0.000920538561729845,0.0,0.000920538561729845
2025-09-01,Wonju,65+,Seoul,19-49,0.013113405712695323,0.0,0.013113405712695323
2025-09-01,Wonju,65+,Seoul,50-64,0.012060326565621615,0.0,0.012060326565621615
2025-09-01,Wonju,65+,Seoul,65+,0.024030779995195786,0.0,0.024030779995195786
2025-09-01,Wonju,65+,Wonju,0-18,0.04197114254700968,0.0,0.04197114254700968
2025-09-01,Wonju,65+,Wonju,19-49,0.4107083818707519,0.0,0.4107083818707519
2025-09-01,Wonju,65+,Wonju,50-64,0.47642369662870854,0.0,0.47642369662870854
2025-09-01,Wonju,65+,Wonju,65+,0.8531209012650842,0.0,0.8531209012650842
2025-09-02,Seoul,0-18,Seoul,0-18,37.08864553471033,0.0,37.08864553471033
2025-09-02,Seoul,0-18,Seoul,19-49,21.052084250492992,0.0,21.052084250492992
2025-09-02,Seoul,0-18,Seoul,50-64,2.9765959955647494,0.0,2.9765959955647494
2025-09-02,Seoul,0-18,Seoul,65+,0.5669995354831311,0.0,0.5669995354831311
2025-09-02,Seoul,0-18,Wonju,0-18,0.05093877952945769,0.0,0.05093877952945769
2025-09-02,Seoul,0-18,Wonju,19-49,0.01986149446997279,0.0,0.01986149446997279
2025-09-02,Seoul,0-18,Wonju,50-64,0.003542035716508285,0.0,0.003542035716508285
2025-09-02,Seoul,0-18,Wonju,65+,0.0006063511058295325,0.0,0.0006063511058295325
2025-09-02,Seoul,19-49,Seoul,0-18,15.61860996935697,0.0,15.61860996935697
2025-09-02,Seoul,19-49,Seoul,19-49,59.703519115862846,0.0,59.703519115862846
2025-09-02,Seoul,19-49,Seoul,50-64,16.533464295877284,0.0,16.533464295877284
2025-09-02,Seoul,19-49,Seoul,65+,6.03496057307333,0.0,6.03496057307333
2025-09-02,Seoul,19-49,Wonju,0-18,0.02145111848425657,0.0,0.02145111848425657
2025-09-02,Seoul,19-49,Wonju,19-49,0.056327017346506005,0.0,0.056327017346506005
2025-09-02,Seoul,19-49,Wonju,50-64,0.01967419197663096,0.0,0.01967419197663096
2025-09-02,Seoul,19-49,Wonju,65+,0.006453806022967211,0.0,0.006453806022967211
2025-09-02,Seoul,50-64,Seoul,0-18,3.3509248532387153,0.0,3.3509248532387153
2025-09-02,Seoul,50-64,Seoul,19-49,25.104250808959186,0.0,25.104250808959186
2025-09-02,Seoul,50-64,Seoul,50-64,18.14578712680819,0.0,18.14578712680819
2025-09-02,Seoul,50-64,Seoul,65+,8.420268963726503,0.0,8.420268963726503
2025-09-02,Seoul,50-64,Wonju,0-18,0.004602271661799052,0.0,0.004602271661799052
2025-09-02,Seoul,50-64,Wonju,19-49,0.023684492836060948,0.0,0.023684492836060948
2025-09-02,Seoul,50-64,Wonju,50-64,0.021592794656406282,0.0,0.021592794656406282
2025-09-02,Seoul,50-64,Wonju,65+,0.009004662399215588,0.0,0.009004662399215588
2025-09-02,Seoul,65+,Seoul,0-18,0.6917628958390529,0.0,0.6917628958390529
2025-09-02,Seoul,65+,Seoul,19-49,9.854677251654465,0.0,9.854677251654465
2025-09-02,Seoul,65+,Seoul,50-64,9.063353191623436,0.0,9.063353191623436
2025-09-02,Seoul,65+,Seoul,65+,18.05926106693973,0.0,18.05926106693973
2025-09-02,Seoul,65+,Wonju,0-18,0.0009500901726062434,0.0,0.0009500901726062434
2025-09-02,Seoul,65+,Wonju,19-49,0.009297351055989542,0.0,0.009297351055989542
2025-09-02,Seoul,65+,Wonju,50-64,0.010785044649624586,0.0,0.010785044649624586
2025-09-02,Seoul,65+,Wonju,65+,0.019312631198317637,0.0,0.019312631198317637
2025-09-02,Wonju,0-18,Seoul,0-18,0.03948120665819708,0.0,0.03948120665819708
2025-09-02,Wonju,0-18,Seoul,19-49,0.02241013865285607,0.0,0.02241013865285607
2025-09-02,Wonju,0-18,Seoul,50-64,0.0031686140042205125,0.0,0.0031686140042205125
2025-09-02,Wonju,0-18,Seoul,65+,0.000603576256635226,0.0,0.000603576256635226
2025-09-02,Wonju,0-18,Wonju,0-18,1.8001107411135773,0.0,1.8001107411135773
2025-09-02,Wonju,0-18,Wonju,19-49,0.7018795868340383,0.0,0.7018795868340383
2025-09-02,Wonju,0-18,Wonju,50-64,0.12517097185273632,0.0,0.12517097185273632
2025-09-02,Wonju,0-18,Wonju,65+,0.02142766569149203,0.0,0.02142766569149203
2025-09-02,Wonju,19-49,Seoul,0-18,0.016626154959928644,0.0,0.016626154959928644
2025-09-02,Wonju,19-49,Seoul,19-49,0.06355494902689253,0.0,0.06355494902689253
2025-09-02,Wonju,19-49,Seoul,50-64,0.017600025863186375,0.0,0.017600025863186375
2025-09-02,Wonju,19-49,Seoul,65+,0.006424271421197921,0.0,0.006424271421197921
2025-09-02,Wonju,19-49,Wonju,0-18,0.7580548483710665,0.0,0.7580548483710665
2025-09-02,Wonju,19-49,Wonju,19-49,1.9905241130031393,0.0,1.9905241130031393
2025-09-02,Wonju,19-49,Wonju,50-64,0.6952605583999745,0.0,0.6952605583999745
2025-09-02,Wonju,19-49,Wonju,65+,0.22806917736001858,0.0,0.22806917736001858
2025-09-02,Wonju,50-64,Seoul,0-18,0.003567090539960309,0.0,0.003567090539960309
2025-09-02,Wonju,50-64,Seoul,19-49,0.026723707482392146,0.0,0.026723707482392146
2025-09-02,Wonju,50-64,Seoul,50-64,0.019316358448805818,0.0,0.019316358448805818
2025-09-02,Wonju,50-64,Seoul,65+,0.008963454293939218,0.0,0.008963454293939218
2025-09-02,Wonju,50-64,Wonju,0-18,0.16263834211293096,0.0,0.16263834211293096
2025-09-02,Wonju,50-64,Wonju,19-49,0.8369794161904763,0.0,0.8369794161904763
2025-09-02,Wonju,50-64,Wonju,50-64,0.7630615014868734,0.0,0.7630615014868734
2025-09-02,Wonju,50-64,Wonju,65+,0.31821315026905406,0.0,0.31821315026905406
2025-09-02,Wonju,65+,Seoul,0-18,0.0007363880091963518,0.0,0.0007363880091963518
2025-09-02,Wonju,65+,Seoul,19-49,0.010490395200824426,0.0,0.010490395200824426
2025-09-02,Wonju,65+,Seoul,50-64,0.009648023410286815,0.0,0.009648023410286815
2025-09-02,Wonju,65+,Seoul,65+,0.019224250656738058,0.0,0.019224250656738058
2025-09-02,Wonju,65+,Wonju,0-18,0.03357496077710128,0.0,0.03357496077710128
2025-09-02,Wonju,65+,Wonju,19-49,0.3285563897366626,0.0,0.3285563897366626
2025-09-02,Wonju,65+,Wonju,50-64,0.38112956173108814,0.0,0.38112956173108814
2025-09-02,Wonju,65+,Wonju,65+,0.6824834670244185,0.0,0.6824834670244185
2025-09-03,Seoul,0-18,Seoul,0-18,38.37288239548871,2.642553088130237e-06,38.372885038041794
2025-09-03,Seoul,0-18,Seoul,19-49,21.781571823275986,1.499894997724239e-06,21.781573323170985
2025-09-03,Seoul,0-18,Seoul,50-64,3.079758334733477,2.1207103653964246e-07,3.0797585468045137
2025-09-03,Seoul,0-18,Seoul,65+,0.5866532087621025,4.039622970326731e-08,0.5866532491583322
2025-09-03,Seoul,0-18,Wonju,0-18,0.05270259315413077,3.6293703156449065e-09,0.05270259678350109
2025-09-03,Seoul,0-18,Wonju,19-49,0.020549726248847794,1.4150692087479275e-09,0.020549727663917
2025-09-03,Seoul,0-18,Wonju,50-64,0.003664794965824833,2.52356445745278e-10,0.003664795218181279
2025-09-03,Seoul,0-18,Wonju,65+,0.000627368806516293,4.319985647086773e-11,0.0006273688497161494
2025-09-03,Seoul,19-49,Seoul,0-18,14.47237094577668,9.96641538187515e-07,14.472371942418219
2025-09-03,Seoul,19-49,Seoul,19-49,55.32327790788721,3.8096014587466866e-06,55.32328171748867
2025-09-03,Seoul,19-49,Seoul,50-64,15.320553804282769,1.0549677515254724e-06,15.320554859250521
2025-09-03,Seoul,19-49,Seoul,65+,5.592255958789487,3.850759748632588e-07,5.592256343865461
2025-09-03,Seoul,19-49,Wonju,0-18,0.01987683567968304,1.3688206417816252e-09,0.01987683704850368
2025-09-03,Seoul,19-49,Wonju,19-49,0.052194498423714875,3.594151410634113e-09,0.05219450201786629
2025-09-03,Seoul,19-49,Wonju,50-64,0.018230874748308108,1.2553713910908796e-09,0.018230876003679498
2025-09-03,Seoul,19-49,Wonju,65+,0.005980376301021998,4.118014717380114e-10,0.0059803767128234694
2025-09-03,Seoul,50-64,Seoul,0-18,3.013827716790192,2.0754760244522917e-07,3.013827924337795
2025-09-03,Seoul,50-64,Seoul,19-49,22.5793620303166,1.5548314160177478e-06,22.579363585148016
2025-09-03,Seoul,50-64,Seoul,50-64,16.32085259799182,1.1238479619104183e-06,16.320853721839782
2025-09-03,Seoul,50-64,Seoul,65+,7.573471511977946,5.215000792283673e-07,7.5734720334780254
2025-09-03,Seoul,50-64,Wonju,0-18,0.004139291241079922,2.850527812597196e-10,0.004139291526132703
2025-09-03,Seoul,50-64,Wonju,19-49,0.021302397841683758,1.4668987262034775e-09,0.021302399308582486
2025-09-03,Seoul,50-64,Wonju,50-64,0.01942119216450331,1.3373362145696515e-09,0.019421193501839525
2025-09-03,Seoul,50-64,Wonju,65+,0.008099094512208665,5.576938426605059e-10,0.008099095069902508
2025-09-03,Seoul,65+,Seoul,0-18,0.607574118377953,4.1840663576954056e-08,0.6075741602186167
2025-09-03,Seoul,65+,Seoul,19-49,8.655558073457268,5.96028071905126e-07,8.65555866948534
2025-09-03,Seoul,65+,Seoul,50-64,7.960570677402196,5.48161995687842e-07,7.960571225564192
2025-09-03,Seoul,65+,Seoul,65+,15.86197553352049,1.0922364313864004e-06,15.86197662575692
2025-09-03,Seoul,65+,Wonju,0-18,0.0008344625051053621,5.746535918433666e-11,0.0008344625625707212
2025-09-03,Seoul,65+,Wonju,19-49,0.008166047445229753,5.623200113221561e-10,0.008166048007549765
2025-09-03,Seoul,65+,Wonju,50-64,0.009472775514433688,6.522918696564381e-10,0.009472776166725557
2025-09-03,Seoul,65+,Wonju,65+,0.016962847063350522,1.1680411121221275e-09,0.016962848231391634
2025-09-03,Wonju,0-18,Seoul,0-18,0.04084828869010933,2.8130222356080865e-09,0.040848291503131566
2025-09-03,Wonju,0-18,Seoul,19-49,0.023186684930036176,1.596652115950861e-09,0.02318668652668829
2025-09-03,Wonju,0-18,Seoul,50-64,0.0032784312696758316,2.2575158243521655e-10,0.003278431495427414
2025-09-03,Wonju,0-18,Seoul,65+,0.0006244977738578905,4.30021606379256e-11,0.0006244978168600512
2025-09-03,Wonju,0-18,Wonju,0-18,1.8624416387209757,1.2825726389641916e-07,1.8624417669782396
2025-09-03,Wonju,0-18,Wonju,19-49,0.7262008098584758,5.000671994139851e-08,0.7262008598651958
2025-09-03,Wonju,0-18,Wonju,50-64,0.1295091253245517,8.917951171417801e-09,0.12950913424250288
2025-09-03,Wonju,0-18,Wonju,65+,0.022170404114148348,1.5266271859301802e-09,0.022170405640775534
2025-09-03,Wonju,19-49,Seoul,0-18,0.015405972903743535,1.060934147527693e-09,0.015405973964677683
2025-09-03,Wonju,19-49,Seoul,19-49,0.058892141694578654,4.055356034433346e-09,0.05889214574993469
2025-09-03,Wonju,19-49,Seoul,50-64,0.01630887141184029,1.123022941798459e-09,0.016308872534863232
2025-09-03,Wonju,19-49,Seoul,65+,0.005953008259303263,4.0991694151933007e-10,0.0059530086692202045
2025-09-03,Wonju,19-49,Wonju,0-18,0.7024217253900892,4.837235526037968e-08,0.7024217737624444
2025-09-03,Wonju,19-49,Wonju,19-49,1.8444862265541817,1.2701267323708612e-07,1.844486353566855
2025-09-03,Wonju,19-49,Wonju,50-64,0.6442555898958557,4.436320512709865e-08,0.6442556342590608
2025-09-03,Wonju,19-49,Wonju,65+,0.21133878186353539,1.4552532654483592e-08,0.21133879641606804
2025-09-03,Wonju,50-64,Seoul,0-18,0.003208247516276551,2.2093634494914749e-10,0.0032082477372128958
2025-09-03,Wonju,50-64,Seoul,19-49,0.024035939993949963,1.655132442003138e-09,0.024035941649082404
2025-09-03,Wonju,50-64,Seoul,50-64,0.01737369874174135,1.1963465636687442e-09,0.017373699938087912
2025-09-03,Wonju,50-64,Seoul,65+,0.008062030564166432,5.551416640710744e-10,0.008062031119308095
2025-09-03,Wonju,50-64,Wonju,0-18,0.1462772114388082,1.0073397479678154e-08,0.14627722151220568
2025-09-03,Wonju,50-64,Wonju,19-49,0.7527992527601471,5.183830821148096e-08,0.7527993045984553
2025-09-03,Wonju,50-64,Wonju,50-64,0.686319871490754,4.7259736227775904e-08,0.6863199187504903
2025-09-03,Wonju,50-64,Wonju,65+,0.28621154961692236,1.9708180794664005e-08,0.28621156932510317
2025-09-03,Wonju,65+,Seoul,0-18,0.0006467682758973314,4.4539773873700294e-11,0.0006467683204371053
2025-09-03,Wonju,65+,Seoul,19-49,0.009213921730314312,6.344774024964082e-10,0.009213922364791715
2025-09-03,Wonju,65+,Seoul,50-64,0.008474101210775171,5.83523521064341e-10,0.008474101794298692
2025-09-03,Wonju,65+,Seoul,65+,0.016885219856845317,1.1626957966642544e-09,0.016885221019541114
2025-09-03,Wonju,65+,Wonju,0-18,0.029488828204610452,2.030751644723897e-09,0.029488830235362095
2025-09-03,Wonju,65+,Wonju,19-49,0.28857757987900623,1.987166362591684e-08,0.2885775997506699
2025-09-03,Wonju,65+,Wonju,50-64,0.3347556637439387,2.3051153006729923e-08,0.3347556867950917
2025-09-03,Wonju,65+,Wonju,65+,0.5994451276742094,4.127706575257388e-08,0.5994451689512752
2025-09-04,Seoul,0-18,Seoul,0-18,42.010225283706646,8.07197386077373e-06,42.010233355680505
2025-09-04,Seoul,0-18,Seoul,19-49,23.84687507051481,4.581606706579987e-06,23.846879652121515
2025-09-04,Seoul,0-18,Seoul,50-64,3.37179885475906,6.477963841789998e-07,3.371799502555444
2025-09-04,Seoul,0-18,Seoul,65+,0.6422860557414508,1.233951652037927e-07,0.642286179136616
2025-09-04,Seoul,0-18,Wonju,0-18,0.05769824087285305,1.1086317414225569e-08,0.057698251959170464
2025-09-04,Seoul,0-18,Wonju,19-49,0.022498227334809863,4.322496299348493e-09,0.02249823165730616
2025-09-04,Seoul,0-18,Wonju,50-64,0.004012312047128305,7.70852992211864e-10,0.004012312817981298
2025-09-04,Seoul,0-18,Wonju,65+,0.0006868627499418898,1.3195918196226387e-10,0.0006868628819010718
2025-09-04,Seoul,19-49,Seoul,0-18,14.148664791464919,2.718567957926401e-06,14.148667510032876
2025-09-04,Seoul,19-49,Seoul,19-49,54.087305719503235,1.0391582204903482e-05,54.08731611108544
2025-09-04,Seoul,19-49,Seoul,50-64,14.97837391736407,2.877673574998243e-06,14.978376795037645
2025-09-04,Seoul,19-49,Seoul,65+,5.467380103884254,1.050385984749299e-06,5.467381154270239
2025-09-04,Seoul,19-49,Wonju,0-18,0.019432246879280954,3.733771666454105e-09,0.01943225061305262
2025-09-04,Seoul,19-49,Wonju,19-49,0.051028426005775854,9.803891626175915e-09,0.05102843580966748
2025-09-04,Seoul,19-49,Wonju,50-64,0.017823693732563022,3.424321808630926e-09,0.01782369715688483
2025-09-04,Seoul,19-49,Wonju,65+,0.0058468336647856615,1.1232861114390256e-09,0.005846834788071773
2025-09-04,Seoul,50-64,Seoul,0-18,2.844099186676036,5.464739628806675e-07,2.844099733149999
2025-09-04,Seoul,50-64,Seoul,19-49,21.3083418066696,4.093888253234708e-06,21.308345900557853
2025-09-04,Seoul,50-64,Seoul,50-64,15.402229482269087,2.959105509163615e-06,15.402232441374597
