date_or_day,source_region,source_age_group,target_region,target_age_group,flow_first,flow_reinfection,flow_total
2025-09-01,Seoul,0-18,Seoul,0-18,57.71721795947275,0.0,57.71721795947275
2025-09-01,Seoul,0-18,Seoul,19-49,32.760420629753916,0.0,32.760420629753916
2025-09-01,Seoul,0-18,Seoul,50-64,5.986204389453982,0.0,5.986204389453982
2025-09-01,Seoul,0-18,Seoul,65+,1.5003648275630508,0.0,1.5003648275630508
2025-09-01,Seoul,0-18,Wonju,0-18,0.07927074710613856,0.0,0.07927074710613856
2025-09-01,Seoul,0-18,Wonju,19-49,0.030907671916456565,0.0,0.030907671916456565
2025-09-01,Seoul,0-18,Wonju,50-64,0.007123354928031395,0.0,0.007123354928031395
2025-09-01,Seoul,0-18,Wonju,65+,0.001604494916500082,0.0,0.001604494916500082
2025-09-01,Seoul,19-49,Seoul,0-18,24.305625153706778,0.0,24.305625153706778
2025-09-01,Seoul,19-49,Seoul,19-49,92.90825440556638,0.0,92.90825440556638
2025-09-01,Seoul,19-49,Seoul,50-64,33.250295535012036,0.0,33.250295535012036
2025-09-01,Seoul,19-49,Seoul,65+,15.969400348544662,0.0,15.969400348544662
2025-09-01,Seoul,19-49,Wonju,0-18,0.033382154111602835,0.0,0.033382154111602835
2025-09-01,Seoul,19-49,Wonju,19-49,0.08765387593619234,0.0,0.08765387593619234
2025-09-01,Seoul,19-49,Wonju,50-64,0.03956658362268721,0.0,0.03956658362268721
2025-09-01,Seoul,19-49,Wonju,65+,0.017077727502058347,0.0,0.017077727502058347
2025-09-01,Seoul,50-64,Seoul,0-18,5.214697310506777,0.0,5.214697310506777
2025-09-01,Seoul,50-64,Seoul,19-49,39.06624191270199,0.0,39.06624191270199
2025-09-01,Seoul,50-64,Seoul,50-64,36.49282291263294,0.0,36.49282291263294
2025-09-01,Seoul,50-64,Seoul,65+,22.281279967947835,0.0,22.281279967947835
2025-09-01,Seoul,50-64,Wonju,0-18,0.007162038752916007,0.0,0.007162038752916007
2025-09-01,Seoul,50-64,Wonju,19-49,0.03685687072497724,0.0,0.03685687072497724
2025-09-01,Seoul,50-64,Wonju,50-64,0.043425067542037545,0.0,0.043425067542037545
2025-09-01,Seoul,50-64,Wonju,65+,0.02382767163354145,0.0,0.02382767163354145
2025-09-01,Seoul,65+,Seoul,0-18,1.0765189523584064,0.0,1.0765189523584064
2025-09-01,Seoul,65+,Seoul,19-49,15.335458859713967,0.0,15.335458859713967
2025-09-01,Seoul,65+,Seoul,50-64,18.22722490378617,0.0,18.22722490378617
2025-09-01,Seoul,65+,Seoul,65+,47.787482036519705,0.0,47.787482036519705
2025-09-01,Seoul,65+,Wonju,0-18,0.0014785269395224331,0.0,0.0014785269395224331
2025-09-01,Seoul,65+,Wonju,19-49,0.014468169883443793,0.0,0.014468169883443793
2025-09-01,Seoul,65+,Wonju,50-64,0.021689702505223795,0.0,0.021689702505223795
2025-09-01,Seoul,65+,Wonju,65+,0.05110408521404284,0.0,0.05110408521404284
2025-09-01,Wonju,0-18,Seoul,0-18,0.06144051305032228,0.0,0.06144051305032228
2025-09-01,Wonju,0-18,Seoul,19-49,0.03487377116218217,0.0,0.03487377116218217
2025-09-01,Wonju,0-18,Seoul,50-64,0.0063723700121928704,0.0,0.0063723700121928704
2025-09-01,Wonju,0-18,Seoul,65+,0.0015971522541654791,0.0,0.0015971522541654791
2025-09-01,Wonju,0-18,Wonju,0-18,2.8013259178959604,0.0,2.8013259178959604
2025-09-01,Wonju,0-18,Wonju,19-49,1.092237244660586,0.0,1.092237244660586
2025-09-01,Wonju,0-18,Wonju,50-64,0.2517301717309159,0.0,0.2517301717309159
2025-09-01,Wonju,0-18,Wonju,65+,0.056700780033091605,0.0,0.056700780033091605
2025-09-01,Wonju,19-49,Seoul,0-18,0.025873563076119634,0.0,0.025873563076119634
2025-09-01,Wonju,19-49,Seoul,19-49,0.09890169725949158,0.0,0.09890169725949158
2025-09-01,Wonju,19-49,Seoul,50-64,0.03539524753567387,0.0,0.03539524753567387
2025-09-01,Wonju,19-49,Seoul,65+,0.016999574567324524,0.0,0.016999574567324524
2025-09-01,Wonju,19-49,Wonju,0-18,1.1796822525568031,0.0,1.1796822525568031
2025-09-01,Wonju,19-49,Wonju,19-49,3.097574873809635,0.0,3.097574873809635
2025-09-01,Wonju,19-49,Wonju,50-64,1.3982320115694786,0.0,1.3982320115694786
2025-09-01,Wonju,19-49,Wonju,65+,0.6035048541453198,0.0,0.6035048541453198
2025-09-01,Wonju,50-64,Seoul,0-18,0.005551093581548624,0.0,0.005551093581548624
2025-09-01,Wonju,50-64,Seoul,19-49,0.04158637631754524,0.0,0.04158637631754524
2025-09-01,Wonju,50-64,Seoul,50-64,0.038846947958945006,0.0,0.038846947958945006
2025-09-01,Wonju,50-64,Seoul,65+,0.023718628877951713,0.0,0.023718628877951713
