week_start,age_group,model_rate
2025-09-01,0-18,41.514065913040525
2025-09-01,19-49,23.281272482211747
2025-09-01,50-64,23.706882202162138
2025-09-01,65+,25.549431017968093
2025-09-08,0-18,39.25219856853165
2025-09-08,19-49,19.054981861158584
2025-09-08,50-64,18.466610807134604
2025-09-08,65+,19.964953860972873
2025-09-15,0-18,38.62357075353313
2025-09-15,19-49,17.32675353601255
2025-09-15,50-64,16.154357125071016
2025-09-15,65+,17.26793644097378
2025-09-22,0-18,37.231163372635656
2025-09-22,19-49,15.954348891977363
2025-09-22,50-64,14.453589825505613
2025-09-22,65+,15.211192272848974
2025-09-29,0-18,35.46848364402366
2025-09-29,19-49,14.78426164576215
2025-09-29,50-64,13.126836373887391
2025-09-29,65+,13.618502866927326
2025-10-06,0-18,33.54882747361154
2025-10-06,19-49,13.74631027394215
2025-10-06,50-64,12.039506407719006
2025-10-06,65+,12.349554838833498
2025-10-13,0-18,31.591007642990885
2025-10-13,19-49,12.805080029132384
2025-10-13,50-64,11.113119695570436
2025-10-13,65+,11.304787947272231
2025-10-20,0-18,29.66160539007216
2025-10-20,19-49,11.940883316769014
2025-10-20,50-64,10.300668412849438
2025-10-20,65+,10.417250433578864
2025-10-27,0-18,27.797321686038817
2025-10-27,19-49,11.14168814864053
2025-10-27,50-64,9.573212429617424
2025-10-27,65+,9.642998225188991
2025-11-03,0-18,26.017403251482495
2025-11-03,19-49,10.399460968046082
2025-11-03,50-64,8.912413447165475
2025-11-03,65+,8.953403707466858
2025-11-10,0-18,24.330797336383558
2025-11-10,19-49,9.708394851550608
2025-11-10,50-64,8.30627145854981
2025-11-10,65+,8.3297331031324
2025-11-17,0-18,22.740368711491485
2025-11-17,19-49,9.063996314426547
2025-11-17,50-64,7.746636506211345
2025-11-17,65+,7.759543883153231
2025-11-24,0-18,21.245421928089208
2025-11-24,19-49,8.462589227489877
2025-11-24,50-64,7.227731779281627
2025-11-24,65+,7.234365818608197
2025-12-01,0-18,19.843222782096475
2025-12-01,19-49,7.901033771576289
2025-12-01,50-64,6.745266049286453
2025-12-01,65+,6.748234778830529
2025-12-08,0-18,18.52991963674193
2025-12-08,19-49,7.376561901004899
2025-12-08,50-64,6.295895436522028
2025-12-08,65+,6.296775218597028
2025-12-15,0-18,17.301101309627636
2025-12-15,19-49,6.886678385333801
2025-12-15,50-64,5.876894733540153
2025-12-15,65+,5.876629308046327
2025-12-22,0-18,15.113916389805652
2025-12-22,19-49,6.569432913147643
2025-12-22,50-64,5.704751546443578
2025-12-22,65+,5.908689340378382
2025-12-29,0-18,13.217381620147966
2025-12-29,19-49,6.916055143481966
2025-12-29,50-64,6.379301387969497
2025-12-29,65+,7.156474501127384
2026-01-05,0-18,12.968298075957334
2026-01-05,19-49,6.861137643105689
2026-01-05,50-64,6.58567294040564
2026-01-05,65+,7.579133969188515
2026-01-12,0-18,12.673241566193811
2026-01-12,19-49,6.862838332005628
2026-01-12,50-64,6.724719555639588
2026-01-12,65+,7.8927553454501815
2026-01-19,0-18,12.49837706235615
2026-01-19,19-49,6.871591331333825
2026-01-19,50-64,6.822318346345497
2026-01-19,65+,8.110006862874652
2026-01-26,0-18,12.397599331805235
2026-01-26,19-49,6.885073612953114
2026-01-26,50-64,6.89404164004921
2026-01-26,65+,8.263415283976913
2026-02-02,0-18,12.345294166914982
2026-02-02,19-49,6.901727936966736
2026-02-02,50-64,6.949040920714587
2026-02-02,65+,8.374343795775161
2026-02-09,0-18,12.324715783720116
2026-02-09,19-49,6.920471013354722
2026-02-09,50-64,6.993108419427523
2026-02-09,65+,8.457082945223936
2026-02-16,0-18,10.397482530715239
2026-02-16,19-49,6.604211354907779
2026-02-16,50-64,6.601639311754825
2026-02-16,65+,8.723101906862109
2026-02-23,0-18,10.101282242781329
2026-02-23,19-49,5.681789724848149
2026-02-23,50-64,5.855293219956671
2026-02-23,65+,7.211711336028554
