week_start,age_group,observed_rate,model_rate
2025-11-03,0-18,95.34736842105262,26.017403251482495
2025-11-10,0-18,124.75789473684209,24.330797336383558
2025-11-17,0-18,136.75263157894736,22.740368711491485
2025-11-24,0-18,135.89473684210526,21.245421928089208
2025-12-01,0-18,113.15789473684211,19.843222782096475
2025-12-08,0-18,97.82105263157895,18.52991963674193
2025-12-15,0-18,83.1263157894737,17.301101309627636
2025-12-22,0-18,75.14736842105263,15.113916389805652
2025-12-29,0-18,72.90526315789474,13.217381620147966
2026-01-05,0-18,88.38421052631578,12.968298075957334
2026-01-12,0-18,95.66842105263159,12.673241566193811
2026-01-19,0-18,99.15263157894736,12.49837706235615
2026-01-26,0-18,94.98947368421052,12.397599331805235
2026-02-02,0-18,109.3894736842105,12.345294166914982
2026-02-09,0-18,100.66315789473686,12.324715783720116
2026-02-16,0-18,85.98421052631578,10.397482530715239
2026-02-23,0-18,44.51052631578948,10.101282242781329
2025-11-03,19-49,34.7,10.399460968046082
2025-11-10,19-49,50.7,9.708394851550608
2025-11-17,19-49,60.0,9.063996314426547
2025-11-24,19-49,63.0,8.462589227489877
2025-12-01,19-49,59.3,7.901033771576289
2025-12-08,19-49,50.5,7.376561901004899
2025-12-15,19-49,39.0,6.886678385333801
2025-12-22,19-49,37.7,6.569432913147643
2025-12-29,19-49,38.2,6.916055143481966
2026-01-05,19-49,44.2,6.861137643105689
2026-01-12,19-49,44.8,6.862838332005628
2026-01-19,19-49,49.3,6.871591331333825
2026-01-26,19-49,48.9,6.885073612953114
2026-02-02,19-49,51.8,6.901727936966736
2026-02-09,19-49,46.3,6.920471013354722
2026-02-16,19-49,45.3,6.604211354907779
2026-02-23,19-49,28.1,5.681789724848149
2025-11-03,50-64,12.1,8.912413447165475
2025-11-10,50-64,17.5,8.30627145854981
2025-11-17,50-64,18.5,7.746636506211345
2025-11-24,50-64,19.8,7.227731779281627
2025-12-01,50-64,17.3,6.745266049286453
2025-12-08,50-64,17.7,6.295895436522028
2025-12-15,50-64,13.9,5.876894733540153
2025-12-22,50-64,13.1,5.704751546443578
2025-12-29,50-64,13.6,6.379301387969497
2026-01-05,50-64,14.7,6.58567294040564
2026-01-12,50-64,14.7,6.724719555639588
2026-01-19,50-64,14.5,6.822318346345497
2026-01-26,50-64,14.0,6.89404164004921
2026-02-02,50-64,15.4,6.949040920714587
2026-02-09,50-64,15.3,6.993108419427523
2026-02-16,50-64,15.3,6.601639311754825
2026-02-23,50-64,8.4,5.855293219956671
2025-11-03,65+,10.7,8.953403707466858
2025-11-10,65+,10.8,8.3297331031324
2025-11-17,65+,12.9,7.759543883153231
2025-11-24,65+,11.9,7.234365818608197
2025-12-01,65+,10.5,6.748234778830529
2025-12-08,65+,10.6,6.296775218597028
2025-12-15,65+,9.0,5.876629308046327
2025-12-22,65+,10.0,5.908689340378382
2025-12-29,65+,9.3,7.156474501127384
2026-01-05,65+,9.0,7.579133969188515
2026-01-12,65+,9.5,7.8927553454501815
2026-01-19,65+,9.7,8.110006862874652
2026-01-26,65+,9.7,8.263415283976913
2026-02-02,65+,9.8,8.374343795775161
2026-02-09,65+,8.5,8.457082945223936
2026-02-16,65+,9.1,8.723101906862109
2026-02-23,65+,6.4,7.211711336028554
