date_or_day,source_region,source_age_group,target_region,target_age_group,flow_first,flow_reinfection,flow_total
2025-11-03,Seoul,0-18,Seoul,0-18,102.58464906538295,0.0,102.58464906538295
2025-11-03,Seoul,0-18,Seoul,19-49,58.228112611710245,0.0,58.228112611710245
2025-11-03,Seoul,0-18,Seoul,50-64,10.639829708792414,0.0,10.639829708792414
2025-11-03,Seoul,0-18,Seoul,65+,2.66673424874274,0.0,2.66673424874274
2025-11-03,Seoul,0-18,Wonju,0-18,0.14089316950002606,0.0,0.14089316950002606
2025-11-03,Seoul,0-18,Wonju,19-49,0.0549350516971902,0.0,0.0549350516971902
2025-11-03,Seoul,0-18,Wonju,50-64,0.012660991583091336,0.0,0.012660991583091336
2025-11-03,Seoul,0-18,Wonju,65+,0.0028518140835880005,0.0,0.0028518140835880005
2025-11-03,Seoul,19-49,Seoul,0-18,43.2000036533038,0.0,43.2000036533038
2025-11-03,Seoul,19-49,Seoul,19-49,165.1343968145314,0.0,165.1343968145314
2025-11-03,Seoul,19-49,Seoul,50-64,59.09879770941429,0.0,59.09879770941429
2025-11-03,Seoul,19-49,Seoul,65+,28.383861084319282,0.0,28.383861084319282
2025-11-03,Seoul,19-49,Wonju,0-18,0.05933232206358046,0.0,0.05933232206358046
2025-11-03,Seoul,19-49,Wonju,19-49,0.15579530606606337,0.0,0.15579530606606337
2025-11-03,Seoul,19-49,Wonju,50-64,0.07032531542787593,0.0,0.07032531542787593
2025-11-03,Seoul,19-49,Wonju,65+,0.030353791280488377,0.0,0.030353791280488377
2025-11-03,Seoul,50-64,Seoul,0-18,9.26842825231386,0.0,9.26842825231386
2025-11-03,Seoul,50-64,Seoul,19-49,69.43602950394148,0.0,69.43602950394148
2025-11-03,Seoul,50-64,Seoul,50-64,64.86203880167685,0.0,64.86203880167685
2025-11-03,Seoul,50-64,Seoul,65+,39.60253619971977,0.0,39.60253619971977
2025-11-03,Seoul,50-64,Wonju,0-18,0.012729567675567035,0.0,0.012729567675567035
2025-11-03,Seoul,50-64,Wonju,19-49,0.06550911062295915,0.0,0.06550911062295915
2025-11-03,Seoul,50-64,Wonju,50-64,0.07718335253538373,0.0,0.07718335253538373
2025-11-03,Seoul,50-64,Wonju,65+,0.042351078114893075,0.0,0.042351078114893075
2025-11-03,Seoul,65+,Seoul,0-18,1.9133687111784292,0.0,1.9133687111784292
2025-11-03,Seoul,65+,Seoul,19-49,27.257123329627465,0.0,27.257123329627465
2025-11-03,Seoul,65+,Seoul,50-64,32.396917382541005,0.0,32.396917382541005
2025-11-03,Seoul,65+,Seoul,65+,84.93701842834635,0.0,84.93701842834635
2025-11-03,Seoul,65+,Wonju,0-18,0.0026278842360545583,0.0,0.0026278842360545583
2025-11-03,Seoul,65+,Wonju,19-49,0.02571561076030202,0.0,0.02571561076030202
2025-11-03,Seoul,65+,Wonju,50-64,0.038551096166464,0.0,0.038551096166464
2025-11-03,Seoul,65+,Wonju,65+,0.0908319175358891,0.0,0.0908319175358891
2025-11-03,Wonju,0-18,Seoul,0-18,0.10920230899018839,0.0,0.10920230899018839
2025-11-03,Wonju,0-18,Seoul,19-49,0.06198436513914228,0.0,0.06198436513914228
2025-11-03,Wonju,0-18,Seoul,50-64,0.011326197262925712,0.0,0.011326197262925712
2025-11-03,Wonju,0-18,Seoul,65+,0.0028387633050274003,0.0,0.0028387633050274003
2025-11-03,Wonju,0-18,Wonju,0-18,4.978982812492857,0.0,4.978982812492857
2025-11-03,Wonju,0-18,Wonju,19-49,1.9413338430410274,0.0,1.9413338430410274
2025-11-03,Wonju,0-18,Wonju,50-64,0.4474231057831147,0.0,0.4474231057831147
2025-11-03,Wonju,0-18,Wonju,65+,0.1007794299538921,0.0,0.1007794299538921
2025-11-03,Wonju,19-49,Seoul,0-18,0.04598680397413647,0.0,0.04598680397413647
2025-11-03,Wonju,19-49,Seoul,19-49,0.17578709475679305,0.0,0.17578709475679305
2025-11-03,Wonju,19-49,Seoul,50-64,0.06291121748926366,0.0,0.06291121748926366
2025-11-03,Wonju,19-49,Seoul,65+,0.030214882993739915,0.0,0.030214882993739915
2025-11-03,Wonju,19-49,Wonju,0-18,2.0967277038920122,0.0,2.0967277038920122
2025-11-03,Wonju,19-49,Wonju,19-49,5.505605090173304,0.0,5.505605090173304
2025-11-03,Wonju,19-49,Wonju,50-64,2.4852059048786477,0.0,2.4852059048786477
2025-11-03,Wonju,19-49,Wonju,65+,1.072663817670162,0.0,1.072663817670162
2025-11-03,Wonju,50-64,Seoul,0-18,0.009866327711639193,0.0,0.009866327711639193
2025-11-03,Wonju,50-64,Seoul,19-49,0.07391529647002502,0.0,0.07391529647002502
2025-11-03,Wonju,50-64,Seoul,50-64,0.06904624100668176,0.0,0.06904624100668176
2025-11-03,Wonju,50-64,Seoul,65+,0.04215726655282071,0.0,0.04215726655282071
2025-11-03,Wonju,50-64,Wonju,0-18,0.44984649640592533,0.0,0.44984649640592533
2025-11-03,Wonju,50-64,Wonju,19-49,2.3150074415307014,0.0,2.3150074415307014
2025-11-03,Wonju,50-64,Wonju,50-64,2.7275600871778347,0.0,2.7275600871778347
2025-11-03,Wonju,50-64,Wonju,65+,1.4966324540279148,0.0,1.4966324540279148
2025-11-03,Wonju,65+,Seoul,0-18,0.002036798713198243,0.0,0.002036798713198243
2025-11-03,Wonju,65+,Seoul,19-49,0.029015460218892338,0.0,0.029015460218892338
2025-11-03,Wonju,65+,Seoul,50-64,0.03448681858903663,0.0,0.03448681858903663
2025-11-03,Wonju,65+,Seoul,65+,0.09041624273828652,0.0,0.09041624273828652
2025-11-03,Wonju,65+,Wonju,0-18,0.092866038083799,0.0,0.092866038083799
2025-11-03,Wonju,65+,Wonju,19-49,0.9087565028358342,0.0,0.9087565028358342
2025-11-03,Wonju,65+,Wonju,50-64,1.3623459951729455,0.0,1.3623459951729455
2025-11-03,Wonju,65+,Wonju,65+,3.2098827632440803,0.0,3.2098827632440803
2025-11-04,Seoul,0-18,Seoul,0-18,82.05715247397298,0.0,82.05715247397298
2025-11-04,Seoul,0-18,Seoul,19-49,46.579252975521186,0.0,46.579252975521186
2025-11-04,Seoul,0-18,Seoul,50-64,8.511263558008649,0.0,8.511263558008649
2025-11-04,Seoul,0-18,Seoul,65+,2.133231465809652,0.0,2.133231465809652
2025-11-04,Seoul,0-18,Wonju,0-18,0.11270002283515439,0.0,0.11270002283515439
2025-11-04,Seoul,0-18,Wonju,19-49,0.043944987317211255,0.0,0.043944987317211255
2025-11-04,Seoul,0-18,Wonju,50-64,0.01012807904062311,0.0,0.01012807904062311
2025-11-04,Seoul,0-18,Wonju,65+,0.0022812845114271157,0.0,0.0022812845114271157
2025-11-04,Seoul,19-49,Seoul,0-18,34.5555530866611,0.0,34.5555530866611
2025-11-04,Seoul,19-49,Seoul,19-49,132.0983370262503,0.0,132.0983370262503
2025-11-04,Seoul,19-49,Seoul,50-64,47.27570431419548,0.0,47.27570431419548
2025-11-04,Seoul,19-49,Seoul,65+,22.705429164824572,0.0,22.705429164824572
2025-11-04,Seoul,19-49,Wonju,0-18,0.04745974609810317,0.0,0.04745974609810317
2025-11-04,Seoul,19-49,Wonju,19-49,0.12462758362170391,0.0,0.12462758362170391
2025-11-04,Seoul,19-49,Wonju,50-64,0.056256285183973874,0.0,0.056256285183973874
2025-11-04,Seoul,19-49,Wonju,65+,0.024281258133120796,0.0,0.024281258133120796
2025-11-04,Seoul,50-64,Seoul,0-18,7.413787903192629,0.0,7.413787903192629
2025-11-04,Seoul,50-64,Seoul,19-49,55.544963400194376,0.0,55.544963400194376
2025-11-04,Seoul,50-64,Seoul,50-64,51.885972074783496,0.0,51.885972074783496
2025-11-04,Seoul,50-64,Seoul,65+,31.679713262368626,0.0,31.679713262368626
2025-11-04,Seoul,50-64,Wonju,0-18,0.010182342925558094,0.0,0.010182342925558094
2025-11-04,Seoul,50-64,Wonju,19-49,0.05240364660719838,0.0,0.05240364660719838
2025-11-04,Seoul,50-64,Wonju,50-64,0.06174232799764473,0.0,0.06174232799764473
2025-11-04,Seoul,50-64,Wonju,65+,0.03387838607774521,0.0,0.03387838607774521
2025-11-04,Seoul,65+,Seoul,0-18,1.5304978815302963,0.0,1.5304978815302963
2025-11-04,Seoul,65+,Seoul,19-49,21.804183340477454,0.0,21.804183340477454
2025-11-04,Seoul,65+,Seoul,50-64,25.91570634650069,0.0,25.91570634650069
2025-11-04,Seoul,65+,Seoul,65+,67.94464818113269,0.0,67.94464818113269
2025-11-04,Seoul,65+,Wonju,0-18,0.002102036702435288,0.0,0.002102036702435288
2025-11-04,Seoul,65+,Wonju,19-49,0.020571058983341484,0.0,0.020571058983341484
2025-11-04,Seoul,65+,Wonju,50-64,0.030838702207025497,0.0,0.030838702207025497
2025-11-04,Seoul,65+,Wonju,65+,0.07266022277200618,0.0,0.07266022277200618
2025-11-04,Wonju,0-18,Seoul,0-18,0.08735059875875344,0.0,0.08735059875875344
2025-11-04,Wonju,0-18,Seoul,19-49,0.049584046173644016,0.0,0.049584046173644016
2025-11-04,Wonju,0-18,Seoul,50-64,0.009060318882274482,0.0,0.009060318882274482
2025-11-04,Wonju,0-18,Seoul,65+,0.0022708446517028446,0.0,0.0022708446517028446
2025-11-04,Wonju,0-18,Wonju,0-18,3.9826733876100526,0.0,3.9826733876100526
2025-11-04,Wonju,0-18,Wonju,19-49,1.5529591485808039,0.0,1.5529591485808039
2025-11-04,Wonju,0-18,Wonju,50-64,0.357913244806536,0.0,0.357913244806536
2025-11-04,Wonju,0-18,Wonju,65+,0.0806176510409163,0.0,0.0806176510409163
2025-11-04,Wonju,19-49,Seoul,0-18,0.03678470628769545,0.0,0.03678470628769545
2025-11-04,Wonju,19-49,Seoul,19-49,0.14061990315760092,0.0,0.14061990315760092
2025-11-04,Wonju,19-49,Seoul,50-64,0.05032542507365923,0.0,0.05032542507365923
2025-11-04,Wonju,19-49,Seoul,65+,0.024170139626170505,0.0,0.024170139626170505
2025-11-04,Wonju,19-49,Wonju,0-18,1.6771661887249039,0.0,1.6771661887249039
2025-11-04,Wonju,19-49,Wonju,19-49,4.404177995405698,0.0,4.404177995405698
2025-11-04,Wonju,19-49,Wonju,50-64,1.988024529646561,0.0,1.988024529646561
2025-11-04,Wonju,19-49,Wonju,65+,0.8580683317688332,0.0,0.8580683317688332
2025-11-04,Wonju,50-64,Seoul,0-18,0.007892045883747742,0.0,0.007892045883747742
2025-11-04,Wonju,50-64,Seoul,19-49,0.05912812795422013,0.0,0.05912812795422013
2025-11-04,Wonju,50-64,Seoul,50-64,0.0552330978015579,0.0,0.0552330978015579
2025-11-04,Wonju,50-64,Seoul,65+,0.03372334816092041,0.0,0.03372334816092041
2025-11-04,Wonju,50-64,Wonju,0-18,0.35983086048222224,0.0,0.35983086048222224
2025-11-04,Wonju,50-64,Wonju,19-49,1.851877253489865,0.0,1.851877253489865
2025-11-04,Wonju,50-64,Wonju,50-64,2.1818942039167677,0.0,2.1818942039167677
2025-11-04,Wonju,50-64,Wonju,65+,1.197218449940964,0.0,1.197218449940964
2025-11-04,Wonju,65+,Seoul,0-18,0.0016292291691827727,0.0,0.0016292291691827727
2025-11-04,Wonju,65+,Seoul,19-49,0.02321075509950762,0.0,0.02321075509950762
2025-11-04,Wonju,65+,Seoul,50-64,0.02758750941718192,0.0,0.02758750941718192
