week_start,age_group,model_rate
2025-11-03,0-18,73.48670993967585
2025-11-03,19-49,40.92429401474433
2025-11-03,50-64,41.59487544698643
2025-11-03,65+,44.72263422622057
2025-11-10,0-18,72.43260351202649
2025-11-10,19-49,34.688062698167975
2025-11-10,50-64,33.470590426270014
2025-11-10,65+,36.022635953277074
2025-11-17,0-18,73.95518837797925
2025-11-17,19-49,32.634901650069644
2025-11-17,50-64,30.232776494320234
2025-11-17,65+,32.1023749058702
2025-11-24,0-18,73.91620627576407
2025-11-24,19-49,31.11291562703703
2025-11-24,50-64,27.967791792337017
2025-11-24,65+,29.188256808424917
2025-12-01,0-18,72.9758063591928
2025-12-01,19-49,29.86016520823111
2025-12-01,50-64,26.285218928875995
2025-12-01,65+,27.009897766544558
2025-12-08,0-18,71.50878772227303
2025-12-08,19-49,28.757423502634154
2025-12-08,50-64,24.959822605332544
2025-12-08,65+,25.33972615028974
2025-12-15,0-18,69.73710834069006
2025-12-15,19-49,27.746161158139493
2025-12-15,50-64,23.85874554954864
2025-12-15,65+,24.011046673961474
2025-12-22,0-18,62.560133219275
2025-12-22,19-49,26.874542689494696
2025-12-22,50-64,23.350832883123616
2025-12-22,65+,24.157385106943554
2025-12-29,0-18,52.82681800330966
2025-12-29,19-49,27.48272695981344
2025-12-29,50-64,25.30428179803632
2025-12-29,65+,28.359101860398017
2026-01-05,0-18,51.24554031113017
2026-01-05,19-49,26.99096454540013
2026-01-05,50-64,25.856433556427266
2026-01-05,65+,29.707896244448246
2026-01-12,0-18,49.433885595211294
2026-01-12,19-49,26.669104819947446
2026-01-12,50-64,26.08635600595353
2026-01-12,65+,30.56186074151445
2026-01-19,0-18,48.117081254745976
2026-01-19,19-49,26.3694207635539
2026-01-19,50-64,26.13995533319153
2026-01-19,65+,31.017767405129852
2026-01-26,0-18,47.09958677340379
2026-01-26,19-49,26.083909125681643
2026-01-26,50-64,26.08276021436459
2026-01-26,65+,31.209299952204404
2026-02-02,0-18,46.27480905353051
2026-02-02,19-49,25.807403600091213
2026-02-02,50-64,25.95374454770769
2026-02-02,65+,31.224913182265727
2026-02-09,0-18,45.57399188060849
2026-02-09,19-49,25.536202158790807
2026-02-09,50-64,25.77747569316944
2026-02-09,65+,31.123696918883244
2026-02-16,0-18,37.85135915095555
2026-02-16,19-49,24.040184805624126
2026-02-16,50-64,24.00335986323502
2026-02-16,65+,31.71158484081161
2026-02-23,0-18,36.47480204369691
2026-02-23,19-49,20.507737672343104
2026-02-23,50-64,21.12136820988307
2026-02-23,65+,25.98406447079919
