date_or_day,source_region,source_age_group,target_region,target_age_group,flow_first,flow_reinfection,flow_total
2025-12-01,Seoul,0-18,Seoul,0-18,52.33047414808872,0.0,52.33047414808872
2025-12-01,Seoul,0-18,Seoul,19-49,43.680244639928674,0.0,43.680244639928674
2025-12-01,Seoul,0-18,Seoul,50-64,7.023786321969562,0.0,7.023786321969562
2025-12-01,Seoul,0-18,Seoul,65+,1.2803156087458791,0.0,1.2803156087458791
2025-12-01,Seoul,0-18,Wonju,0-18,0.07187241396579878,0.0,0.07187241396579878
2025-12-01,Seoul,0-18,Wonju,19-49,0.04120993090471247,0.0,0.04120993090471247
2025-12-01,Seoul,0-18,Wonju,50-64,0.008358037857542154,0.0,0.008358037857542154
2025-12-01,Seoul,0-18,Wonju,65+,0.0013691735823246917,0.0,0.0013691735823246917
2025-12-01,Seoul,19-49,Seoul,0-18,22.037182901855974,0.0,22.037182901855974
2025-12-01,Seoul,19-49,Seoul,19-49,123.87677580116451,0.0,123.87677580116451
2025-12-01,Seoul,19-49,Seoul,50-64,39.01353107683736,0.0,39.01353107683736
2025-12-01,Seoul,19-49,Seoul,65+,13.627267283892923,0.0,13.627267283892923
2025-12-01,Seoul,19-49,Wonju,0-18,0.030266600063283845,0.0,0.030266600063283845
2025-12-01,Seoul,19-49,Wonju,19-49,0.11687098855664475,0.0,0.11687098855664475
2025-12-01,Seoul,19-49,Wonju,50-64,0.04642461412538639,0.0,0.04642461412538639
2025-12-01,Seoul,19-49,Wonju,65+,0.014573042956697297,0.0,0.014573042956697297
2025-12-01,Seoul,50-64,Seoul,0-18,4.728009984632245,0.0,4.728009984632245
2025-12-01,Seoul,50-64,Seoul,19-49,52.08794548747758,0.0,52.08794548747758
2025-12-01,Seoul,50-64,Seoul,50-64,42.81808200123754,0.0,42.81808200123754
2025-12-01,Seoul,50-64,Seoul,65+,19.01342260344455,0.0,19.01342260344455
2025-12-01,Seoul,50-64,Wonju,0-18,0.0064936061899284305,0.0,0.0064936061899284305
2025-12-01,Seoul,50-64,Wonju,19-49,0.049142138561769876,0.0,0.049142138561769876
2025-12-01,Seoul,50-64,Wonju,50-64,0.050951884631555054,0.0,0.050951884631555054
2025-12-01,Seoul,50-64,Wonju,65+,0.020333014578890828,0.0,0.020333014578890828
2025-12-01,Seoul,65+,Seoul,0-18,0.9760475157668838,0.0,0.9760475157668838
2025-12-01,Seoul,65+,Seoul,19-49,20.447130463565703,0.0,20.447130463565703
2025-12-01,Seoul,65+,Seoul,50-64,21.38652886497143,0.0,21.38652886497143
2025-12-01,Seoul,65+,Seoul,65+,40.778787952124496,0.0,40.778787952124496
2025-12-01,Seoul,65+,Wonju,0-18,0.0013405361263299222,0.0,0.0013405361263299222
2025-12-01,Seoul,65+,Wonju,19-49,0.01929075353284377,0.0,0.01929075353284377
2025-12-01,Seoul,65+,Wonju,50-64,0.025449153732900784,0.0,0.025449153732900784
2025-12-01,Seoul,65+,Wonju,65+,0.04360896547841059,0.0,0.04360896547841059
2025-12-01,Wonju,0-18,Seoul,0-18,0.05570627437522751,0.0,0.05570627437522751
2025-12-01,Wonju,0-18,Seoul,19-49,0.04649802495202117,0.0,0.04649802495202117
