week_start,age_group,model_rate
2025-12-01,0-18,34.60116638453138
2025-12-01,19-49,28.367424075855293
2025-12-01,50-64,25.325025198201974
2025-12-01,65+,19.132383077358675
2025-12-08,0-18,30.2969455759186
2025-12-08,19-49,22.956060793400624
2025-12-08,50-64,19.451321618349084
2025-12-08,65+,13.629668448675325
2025-12-15,0-18,27.649213947902474
2025-12-15,19-49,19.957876979748605
2025-12-15,50-64,16.36307297341346
2025-12-15,65+,10.970434550969845
2025-12-22,0-18,22.258490824586833
2025-12-22,19-49,16.351294639684372
2025-12-22,50-64,13.326139141119535
2025-12-22,65+,8.914859683145055
2025-12-29,0-18,20.506917912431433
2025-12-29,19-49,17.49584266051786
2025-12-29,50-64,14.879641608948697
2025-12-29,65+,10.658362303734704
2026-01-05,0-18,21.642771711174195
2026-01-05,19-49,18.805597298678915
2026-01-05,50-64,16.286252394172383
2026-01-05,65+,11.81919519265768
2026-01-12,0-18,22.620060665369728
2026-01-12,19-49,19.977350755913342
2026-01-12,50-64,17.4869531025918
2026-01-12,65+,12.813174126281897
2026-01-19,0-18,23.823086228053736
2026-01-19,19-49,21.23264743619848
2026-01-19,50-64,18.7011386536172
2026-01-19,65+,13.781969326767161
2026-01-26,0-18,25.185229208796304
2026-01-26,19-49,22.56524524318627
2026-01-26,50-64,19.946916246647632
2026-01-26,65+,14.751015654606393
2026-02-02,0-18,26.681467958005243
2026-02-02,19-49,23.979151811002094
2026-02-02,50-64,21.24181109049951
2026-02-02,65+,15.741317188276648
2026-02-09,0-18,28.29861845570795
2026-02-09,19-49,25.478166223052433
2026-02-09,50-64,22.59803229448227
2026-02-09,65+,16.767450638568324
2026-02-16,0-18,22.86281594884865
2026-02-16,19-49,21.976307485127727
2026-02-16,50-64,19.754426896734522
2026-02-16,65+,16.571381557696988
2026-02-23,0-18,25.090702636836635
2026-02-23,19-49,22.70733474435036
2026-02-23,50-64,20.347324361959153
2026-02-23,65+,15.413319917173286
