date_or_day,source_region,source_age_group,target_region,target_age_group,flow_first,flow_reinfection,flow_total
2025-12-01,Region_A,0-18,Region_A,0-18,58.024586386180175,0.0,58.024586386180175
2025-12-01,Region_A,0-18,Region_A,19-49,16.55131499158067,0.0,16.55131499158067
2025-12-01,Region_A,0-18,Region_A,50-64,0.9740881875318527,0.0,0.9740881875318527
2025-12-01,Region_A,0-18,Region_A,65+,0.15734822208492147,0.0,0.15734822208492147
2025-12-01,Region_A,0-18,Region_B,0-18,0.07969289712797509,0.0,0.07969289712797509
2025-12-01,Region_A,0-18,Region_B,19-49,0.015615263898079783,0.0,0.015615263898079783
2025-12-01,Region_A,0-18,Region_B,50-64,0.0011591277944362167,0.0,0.0011591277944362167
2025-12-01,Region_A,0-18,Region_B,65+,0.00016826868893324073,0.0,0.00016826868893324073
2025-12-01,Region_A,19-49,Region_A,0-18,24.435062815946168,0.0,24.435062815946168
2025-12-01,Region_A,19-49,Region_A,19-49,46.93937850687459,0.0,46.93937850687459
2025-12-01,Region_A,19-49,Region_A,50-64,5.410560349335581,0.0,5.410560349335581
2025-12-01,Region_A,19-49,Region_A,65+,1.6747638350647964,0.0,1.6747638350647964
2025-12-01,Region_A,19-49,Region_B,0-18,0.03355992810266028,0.0,0.03355992810266028
2025-12-01,Region_A,19-49,Region_B,19-49,0.04428474613464542,0.0,0.04428474613464542
2025-12-01,Region_A,19-49,Region_B,50-64,0.0064383604735832175,0.0,0.0064383604735832175
2025-12-01,Region_A,19-49,Region_B,65+,0.0017909977695652985,0.0,0.0017909977695652985
2025-12-01,Region_A,50-64,Region_A,0-18,5.242467763843793,0.0,5.242467763843793
2025-12-01,Region_A,50-64,Region_A,19-49,19.737160360119546,0.0,19.737160360119546
2025-12-01,Region_A,50-64,Region_A,50-64,5.938191450915333,0.0,5.938191450915333
2025-12-01,Region_A,50-64,Region_A,65+,2.3367115279737765,0.0,2.3367115279737765
2025-12-01,Region_A,50-64,Region_B,0-18,0.007200179617311917,0.0,0.007200179617311917
2025-12-01,Region_A,50-64,Region_B,19-49,0.018620935422881017,0.0,0.018620935422881017
2025-12-01,Region_A,50-64,Region_B,50-64,0.007066221362236167,0.0,0.007066221362236167
2025-12-01,Region_A,50-64,Region_B,65+,0.0024988867368016905,0.0,0.0024988867368016905
2025-12-01,Region_A,65+,Region_A,0-18,1.0822518679147228,0.0,1.0822518679147228
2025-12-01,Region_A,65+,Region_A,19-49,7.747825127038335,0.0,7.747825127038335
2025-12-01,Region_A,65+,Region_A,50-64,2.965973647933527,0.0,2.965973647933527
2025-12-01,Region_A,65+,Region_A,65+,5.011631303417443,0.0,5.011631303417443
2025-12-01,Region_A,65+,Region_B,0-18,0.0014864007164526497,0.0,0.0014864007164526497
2025-12-01,Region_A,65+,Region_B,19-49,0.007309650868007738,0.0,0.007309650868007738
2025-12-01,Region_A,65+,Region_B,50-64,0.0035293955279307883,0.0,0.0035293955279307883
2025-12-01,Region_A,65+,Region_B,65+,0.005359454448666784,0.0,0.005359454448666784
2025-12-01,Region_B,0-18,Region_A,0-18,0.06176770958716221,0.0,0.06176770958716221
2025-12-01,Region_B,0-18,Region_A,19-49,0.017619028094082046,0.0,0.017619028094082046
2025-12-01,Region_B,0-18,Region_A,50-64,0.0010369258968829602,0.0,0.0010369258968829602
2025-12-01,Region_B,0-18,Region_A,65+,0.00016749863964756387,0.0,0.00016749863964756387
2025-12-01,Region_B,0-18,Region_B,0-18,2.8162441549579587,0.0,2.8162441549579587
2025-12-01,Region_B,0-18,Region_B,19-49,0.5518232774305291,0.0,0.5518232774305291
2025-12-01,Region_B,0-18,Region_B,50-64,0.04096208060660888,0.0,0.04096208060660888
2025-12-01,Region_B,0-18,Region_B,65+,0.005946398346011782,0.0,0.005946398346011782
2025-12-01,Region_B,19-49,Region_A,0-18,0.026011350666325494,0.0,0.026011350666325494
2025-12-01,Region_B,19-49,Region_A,19-49,0.049967403136975286,0.0,0.049967403136975286
2025-12-01,Region_B,19-49,Region_A,50-64,0.005759591600314648,0.0,0.005759591600314648
2025-12-01,Region_B,19-49,Region_A,65+,0.001782801612800507,0.0,0.001782801612800507
2025-12-01,Region_B,19-49,Region_B,0-18,1.1859645560149785,0.0,1.1859645560149785
2025-12-01,Region_B,19-49,Region_B,19-49,1.5649657867904534,0.0,1.5649657867904534
2025-12-01,Region_B,19-49,Region_B,50-64,0.22752335157452946,0.0,0.22752335157452946
2025-12-01,Region_B,19-49,Region_B,65+,0.06329155021157368,0.0,0.06329155021157368
2025-12-01,Region_B,50-64,Region_A,0-18,0.005580655486314449,0.0,0.005580655486314449
2025-12-01,Region_B,50-64,Region_A,19-49,0.02101038999374021,0.0,0.02101038999374021
2025-12-01,Region_B,50-64,Region_A,50-64,0.006321259794459585,0.0,0.006321259794459585
2025-12-01,Region_B,50-64,Region_A,65+,0.0024874510623523276,0.0,0.0024874510623523276
2025-12-01,Region_B,50-64,Region_B,0-18,0.25444505712145815,0.0,0.25444505712145815
2025-12-01,Region_B,50-64,Region_B,19-49,0.6580398308311664,0.0,0.6580398308311664
2025-12-01,Region_B,50-64,Region_B,50-64,0.24971114523644264,0.0,0.24971114523644264
2025-12-01,Region_B,50-64,Region_B,65+,0.08830743290858876,0.0,0.08830743290858876
2025-12-01,Region_B,65+,Region_A,0-18,0.0011520671363793086,0.0,0.0011520671363793086
2025-12-01,Region_B,65+,Region_A,19-49,0.008247631602127246,0.0,0.008247631602127246
2025-12-01,Region_B,65+,Region_A,50-64,0.0031573064167910647,0.0,0.0031573064167910647
2025-12-01,Region_B,65+,Region_A,65+,0.005334927936360913,0.0,0.005334927936360913
2025-12-01,Region_B,65+,Region_B,0-18,0.0525274833830283,0.0,0.0525274833830283
2025-12-01,Region_B,65+,Region_B,19-49,0.25831362986782175,0.0,0.25831362986782175
2025-12-01,Region_B,65+,Region_B,50-64,0.12472428389832833,0.0,0.12472428389832833
2025-12-01,Region_B,65+,Region_B,65+,0.18939620479078906,0.0,0.18939620479078906
2025-12-02,Region_A,0-18,Region_A,0-18,46.41628981176167,0.0,46.41628981176167
2025-12-02,Region_A,0-18,Region_A,19-49,13.24079054711672,0.0,13.24079054711672
2025-12-02,Region_A,0-18,Region_A,50-64,0.7792655213474075,0.0,0.7792655213474075
2025-12-02,Region_A,0-18,Region_A,65+,0.12587803500868344,0.0,0.12587803500868344
2025-12-02,Region_A,0-18,Region_B,0-18,0.06374967646321748,0.0,0.06374967646321748
2025-12-02,Region_A,0-18,Region_B,19-49,0.012491964458268227,0.0,0.012491964458268227
2025-12-02,Region_A,0-18,Region_B,50-64,0.0009272962516138427,0.0,0.0009272962516138427
2025-12-02,Region_A,0-18,Region_B,65+,0.00013461437082506146,0.0,0.00013461437082506146
2025-12-02,Region_A,19-49,Region_A,0-18,19.54662717774563,0.0,19.54662717774563
2025-12-02,Region_A,19-49,Region_A,19-49,37.550761346606656,0.0,37.550761346606656
2025-12-02,Region_A,19-49,Region_A,50-64,4.32842034774057,0.0,4.32842034774057
2025-12-02,Region_A,19-49,Region_A,65+,1.3398052921613894,0.0,1.3398052921613894
2025-12-02,Region_A,19-49,Region_B,0-18,0.026845987983569172,0.0,0.026845987983569172
2025-12-02,Region_A,19-49,Region_B,19-49,0.035427097381649085,0.0,0.035427097381649085
2025-12-02,Region_A,19-49,Region_B,50-64,0.005150655141175607,0.0,0.005150655141175607
2025-12-02,Region_A,19-49,Region_B,65+,0.0014327920388966311,0.0,0.0014327920388966311
2025-12-02,Region_A,50-64,Region_A,0-18,4.1936688946971525,0.0,4.1936688946971525
2025-12-02,Region_A,50-64,Region_A,19-49,15.789416518030984,0.0,15.789416518030984
2025-12-02,Region_A,50-64,Region_A,50-64,4.7505225051370825,0.0,4.7505225051370825
2025-12-02,Region_A,50-64,Region_A,65+,1.8693611635772303,0.0,1.8693611635772303
2025-12-02,Region_A,50-64,Region_B,0-18,0.005759724362179813,0.0,0.005759724362179813
2025-12-02,Region_A,50-64,Region_B,19-49,0.014896454200235571,0.0,0.014896454200235571
2025-12-02,Region_A,50-64,Region_B,50-64,0.005652940610799772,0.0,0.005652940610799772
2025-12-02,Region_A,50-64,Region_B,65+,0.0019991007713330965,0.0,0.0019991007713330965
2025-12-02,Region_A,65+,Region_A,0-18,0.8657384650037683,0.0,0.8657384650037683
2025-12-02,Region_A,65+,Region_A,19-49,6.198137716247123,0.0,6.198137716247123
2025-12-02,Region_A,65+,Region_A,50-64,2.3727636066667865,0.0,2.3727636066667865
2025-12-02,Region_A,65+,Region_A,65+,4.009287758724849,0.0,4.009287758724849
2025-12-02,Region_A,65+,Region_B,0-18,0.0011890340065863632,0.0,0.0011890340065863632
2025-12-02,Region_A,65+,Region_B,19-49,0.00584760523046497,0.0,0.00584760523046497
2025-12-02,Region_A,65+,Region_B,50-64,0.002823498202029329,0.0,0.002823498202029329
2025-12-02,Region_A,65+,Region_B,65+,0.004287545075359143,0.0,0.004287545075359143
2025-12-02,Region_B,0-18,Region_A,0-18,0.04941057037658257,0.0,0.04941057037658257
2025-12-02,Region_B,0-18,Region_A,19-49,0.01409494416341997,0.0,0.01409494416341997
2025-12-02,Region_B,0-18,Region_A,50-64,0.000829535364431986,0.0,0.000829535364431986
2025-12-02,Region_B,0-18,Region_A,65+,0.00013399833405224976,0.0,0.00013399833405224976
2025-12-02,Region_B,0-18,Region_B,0-18,2.2528313085630565,0.0,2.2528313085630565
2025-12-02,Region_B,0-18,Region_B,19-49,0.44144990529138195,0.0,0.44144990529138195
2025-12-02,Region_B,0-18,Region_B,50-64,0.03276945302074078,0.0,0.03276945302074078
2025-12-02,Region_B,0-18,Region_B,65+,0.004757098168995316,0.0,0.004757098168995316
2025-12-02,Region_B,19-49,Region_A,0-18,0.02080756565653143,0.0,0.02080756565653143
2025-12-02,Region_B,19-49,Region_A,19-49,0.03997313321972179,0.0,0.03997313321972179
2025-12-02,Region_B,19-49,Region_A,50-64,0.004607643546668692,0.0,0.004607643546668692
2025-12-02,Region_B,19-49,Region_A,65+,0.0014262351417515318,0.0,0.0014262351417515318
2025-12-02,Region_B,19-49,Region_B,0-18,0.9487025753548393,0.0,0.9487025753548393
2025-12-02,Region_B,19-49,Region_B,19-49,1.2519479090837602,0.0,1.2519479090837602
2025-12-02,Region_B,19-49,Region_B,50-64,0.18201750668251215,0.0,0.18201750668251215
2025-12-02,Region_B,19-49,Region_B,65+,0.050633021890685775,0.0,0.050633021890685775
2025-12-02,Region_B,50-64,Region_A,0-18,0.004464199376939698,0.0,0.004464199376939698
2025-12-02,Region_B,50-64,Region_A,19-49,0.01680798011287097,0.0,0.01680798011287097
2025-12-02,Region_B,50-64,Region_A,50-64,0.005056975202402685,0.0,0.005056975202402685
2025-12-02,Region_B,50-64,Region_A,65+,0.0019899522712127212,0.0,0.0019899522712127212
2025-12-02,Region_B,50-64,Region_B,0-18,0.20354122705703176,0.0,0.20354122705703176
2025-12-02,Region_B,50-64,Region_B,19-49,0.526421470205099,0.0,0.526421470205099
2025-12-02,Region_B,50-64,Region_B,50-64,0.19976762706874676,0.0,0.19976762706874676
2025-12-02,Region_B,50-64,Region_B,65+,0.0706456417740454,0.0,0.0706456417740454
