date_or_day,source_region,source_age_group,target_region,target_age_group,flow_first,flow_reinfection,flow_total
2025-12-01,Seoul,0-18,Seoul,0-18,25.65780239803894,0.0,25.65780239803894
2025-12-01,Seoul,0-18,Seoul,19-49,14.56327556175861,0.0,14.56327556175861
2025-12-01,Seoul,0-18,Seoul,50-64,2.6611001290803515,0.0,2.6611001290803515
2025-12-01,Seoul,0-18,Seoul,65+,0.6669706817918815,0.0,0.6669706817918815
2025-12-01,Seoul,0-18,Wonju,0-18,0.035239279319082405,0.0,0.035239279319082405
2025-12-01,Seoul,0-18,Wonju,19-49,0.013739657014140297,0.0,0.013739657014140297
2025-12-01,Seoul,0-18,Wonju,50-64,0.003166607667433576,0.0,0.003166607667433576
2025-12-01,Seoul,0-18,Wonju,65+,0.0007132605675166666,0.0,0.0007132605675166666
2025-12-01,Seoul,19-49,Seoul,0-18,10.804902755231662,0.0,10.804902755231662
2025-12-01,Seoul,19-49,Seoul,19-49,41.301316798153714,0.0,41.301316798153714
2025-12-01,Seoul,19-49,Seoul,50-64,14.781046550308496,0.0,14.781046550308496
2025-12-01,Seoul,19-49,Seoul,65+,7.099021279761867,0.0,7.099021279761867
2025-12-01,Seoul,19-49,Wonju,0-18,0.014839812868627959,0.0,0.014839812868627959
2025-12-01,Seoul,19-49,Wonju,19-49,0.03896554210160519,0.0,0.03896554210160519
2025-12-01,Seoul,19-49,Wonju,50-64,0.0175888816912256,0.0,0.0175888816912256
2025-12-01,Seoul,19-49,Wonju,65+,0.007591715925522224,0.0,0.007591715925522224
2025-12-01,Seoul,50-64,Seoul,0-18,2.318158738221177,0.0,2.318158738221177
2025-12-01,Seoul,50-64,Seoul,19-49,17.3664573042839,0.0,17.3664573042839
2025-12-01,Seoul,50-64,Seoul,50-64,16.222475786893682,0.0,16.222475786893682
2025-12-01,Seoul,50-64,Seoul,65+,9.904897941093228,0.0,9.904897941093228
2025-12-01,Seoul,50-64,Wonju,0-18,0.003183836324516685,0.0,0.003183836324516685
2025-12-01,Seoul,50-64,Wonju,19-49,0.01638430625718097,0.0,0.01638430625718097
2025-12-01,Seoul,50-64,Wonju,50-64,0.019304127511085453,0.0,0.019304127511085453
2025-12-01,Seoul,50-64,Wonju,65+,0.010592329347488891,0.0,0.010592329347488891
2025-12-01,Seoul,65+,Seoul,0-18,0.47855928497369005,0.0,0.47855928497369005
2025-12-01,Seoul,65+,Seoul,19-49,6.81720530282778,0.0,6.81720530282778
2025-12-01,Seoul,65+,Seoul,50-64,8.102708726366458,0.0,8.102708726366458
2025-12-01,Seoul,65+,Seoul,65+,21.24339953155522,0.0,21.24339953155522
2025-12-01,Seoul,65+,Wonju,0-18,0.0006572692412354521,0.0,0.0006572692412354521
2025-12-01,Seoul,65+,Wonju,19-49,0.006431661768578205,0.0,0.006431661768578205
2025-12-01,Seoul,65+,Wonju,50-64,0.009641914371993259,0.0,0.009641914371993259
2025-12-01,Seoul,65+,Wonju,65+,0.022717758995272227,0.0,0.022717758995272227
2025-12-01,Wonju,0-18,Seoul,0-18,0.02731296827553645,0.0,0.02731296827553645
2025-12-01,Wonju,0-18,Seoul,19-49,0.015502741709344915,0.0,0.015502741709344915
2025-12-01,Wonju,0-18,Seoul,50-64,0.0028327657324679067,0.0,0.0028327657324679067
2025-12-01,Wonju,0-18,Seoul,65+,0.0007099964677367272,0.0,0.0007099964677367272
2025-12-01,Wonju,0-18,Wonju,0-18,1.2453106610985412,0.0,1.2453106610985412
2025-12-01,Wonju,0-18,Wonju,19-49,0.4855417502900224,0.0,0.4855417502900224
2025-12-01,Wonju,0-18,Wonju,50-64,0.11190382902172522,0.0,0.11190382902172522
2025-12-01,Wonju,0-18,Wonju,65+,0.02520570811982285,0.0,0.02520570811982285
2025-12-01,Wonju,19-49,Seoul,0-18,0.011501919049639837,0.0,0.011501919049639837
2025-12-01,Wonju,19-49,Seoul,19-49,0.04396563423265244,0.0,0.04396563423265244
2025-12-01,Wonju,19-49,Seoul,50-64,0.0157345609434836,0.0,0.0157345609434836
2025-12-01,Wonju,19-49,Seoul,65+,0.007556973897979418,0.0,0.007556973897979418
2025-12-01,Wonju,19-49,Wonju,0-18,0.5244198386316751,0.0,0.5244198386316751
2025-12-01,Wonju,19-49,Wonju,19-49,1.3769919797518866,0.0,1.3769919797518866
2025-12-01,Wonju,19-49,Wonju,50-64,0.6215683836366981,0.0,0.6215683836366981
2025-12-01,Wonju,19-49,Wonju,65+,0.2682814450454708,0.0,0.2682814450454708
2025-12-01,Wonju,50-64,Seoul,0-18,0.0024677014458390216,0.0,0.0024677014458390216
2025-12-01,Wonju,50-64,Seoul,19-49,0.01848675463517554,0.0,0.01848675463517554
2025-12-01,Wonju,50-64,Seoul,50-64,0.017268975715237053,0.0,0.017268975715237053
2025-12-01,Wonju,50-64,Seoul,65+,0.010543855589837375,0.0,0.010543855589837375
2025-12-01,Wonju,50-64,Wonju,0-18,0.11251266753251701,0.0,0.11251266753251701
2025-12-01,Wonju,50-64,Wonju,19-49,0.5790002420884437,0.0,0.5790002420884437
2025-12-01,Wonju,50-64,Wonju,50-64,0.6821829576901327,0.0,0.6821829576901327
2025-12-01,Wonju,50-64,Wonju,65+,0.37431925161851864,0.0,0.37431925161851864
2025-12-01,Wonju,65+,Seoul,0-18,0.0005094307909023738,0.0,0.0005094307909023738
2025-12-01,Wonju,65+,Seoul,19-49,0.007256978180570342,0.0,0.007256978180570342
2025-12-01,Wonju,65+,Seoul,50-64,0.008625408480270871,0.0,0.008625408480270871
2025-12-01,Wonju,65+,Seoul,65+,0.022613795541361736,0.0,0.022613795541361736
2025-12-01,Wonju,65+,Wonju,0-18,0.02322704689591734,0.0,0.02322704689591734
2025-12-01,Wonju,65+,Wonju,19-49,0.22728662798314264,0.0,0.22728662798314264
2025-12-01,Wonju,65+,Wonju,50-64,0.34073281272640693,0.0,0.34073281272640693
2025-12-01,Wonju,65+,Wonju,65+,0.8028162896555071,0.0,0.8028162896555071
2025-12-02,Seoul,0-18,Seoul,0-18,20.525581164288322,0.0,20.525581164288322
2025-12-02,Seoul,0-18,Seoul,19-49,11.650418037889818,0.0,11.650418037889818
2025-12-02,Seoul,0-18,Seoul,50-64,2.1288425731335168,0.0,2.1288425731335168
2025-12-02,Seoul,0-18,Seoul,65+,0.5335667951536425,0.0,0.5335667951536425
2025-12-02,Seoul,0-18,Wonju,0-18,0.028190515953546203,0.0,0.028190515953546203
2025-12-02,Seoul,0-18,Wonju,19-49,0.010991534647074253,0.0,0.010991534647074253
2025-12-02,Seoul,0-18,Wonju,50-64,0.002533241474522534,0.0,0.002533241474522534
2025-12-02,Seoul,0-18,Wonju,65+,0.0005705980270330507,0.0,0.0005705980270330507
