date_or_day,source_region,source_age_group,target_region,target_age_group,flow_first,flow_reinfection,flow_total
2025-12-01,Seoul,0-18,Seoul,0-18,61.564867338231295,0.0,61.564867338231295
2025-12-01,Seoul,0-18,Seoul,19-49,34.94439807957762,0.0,34.94439807957762
2025-12-01,Seoul,0-18,Seoul,50-64,6.38527530153723,0.0,6.38527530153723
2025-12-01,Seoul,0-18,Seoul,65+,1.6003867123472095,0.0,1.6003867123472095
2025-12-01,Seoul,0-18,Wonju,0-18,0.08455523675480502,0.0,0.08455523675480502
2025-12-01,Seoul,0-18,Wonju,19-49,0.03296813564660732,0.0,0.03296813564660732
2025-12-01,Seoul,0-18,Wonju,50-64,0.007598234094073617,0.0,0.007598234094073617
2025-12-01,Seoul,0-18,Wonju,65+,0.001711458638074124,0.0,0.001711458638074124
2025-12-01,Seoul,19-49,Seoul,0-18,25.925930615911568,0.0,25.925930615911568
2025-12-01,Seoul,19-49,Seoul,19-49,99.10199455369965,0.0,99.10199455369965
2025-12-01,Seoul,19-49,Seoul,50-64,35.466929799884696,0.0,35.466929799884696
2025-12-01,Seoul,19-49,Seoul,65+,17.034001099235823,0.0,17.034001099235823
2025-12-01,Seoul,19-49,Wonju,0-18,0.0356075355327815,0.0,0.0356075355327815
2025-12-01,Seoul,19-49,Wonju,19-49,0.09349733230074289,0.0,0.09349733230074289
2025-12-01,Seoul,19-49,Wonju,50-64,0.04220429386227429,0.0,0.04220429386227429
2025-12-01,Seoul,19-49,Wonju,65+,0.018216214929386656,0.0,0.018216214929386656
2025-12-01,Seoul,50-64,Seoul,0-18,5.562328876554777,0.0,5.562328876554777
2025-12-01,Seoul,50-64,Seoul,19-49,41.67059770992911,0.0,41.67059770992911
2025-12-01,Seoul,50-64,Seoul,50-64,38.925620588217356,0.0,38.925620588217356
2025-12-01,Seoul,50-64,Seoul,65+,23.766662440834423,0.0,23.766662440834423
2025-12-01,Seoul,50-64,Wonju,0-18,0.007639487509674373,0.0,0.007639487509674373
2025-12-01,Seoul,50-64,Wonju,19-49,0.039313938521637656,0.0,0.039313938521637656
2025-12-01,Seoul,50-64,Wonju,50-64,0.04632000399656416,0.0,0.04632000399656416
2025-12-01,Seoul,50-64,Wonju,65+,0.025416144372319177,0.0,0.025416144372319177
2025-12-01,Seoul,65+,Seoul,0-18,1.148283802167558,0.0,1.148283802167558
2025-12-01,Seoul,65+,Seoul,19-49,16.35779910103235,0.0,16.35779910103235
2025-12-01,Seoul,65+,Seoul,50-64,19.442344668142212,0.0,19.442344668142212
2025-12-01,Seoul,65+,Seoul,65+,50.97323655073699,0.0,50.97323655073699
2025-12-01,Seoul,65+,Wonju,0-18,0.0015770911715047473,0.0,0.0015770911715047473
2025-12-01,Seoul,65+,Wonju,19-49,0.015432692199038282,0.0,0.015432692199038282
2025-12-01,Seoul,65+,Wonju,50-64,0.023135648683877994,0.0,0.023135648683877994
2025-12-01,Seoul,65+,Wonju,65+,0.054510941219579286,0.0,0.054510941219579286
2025-12-01,Wonju,0-18,Seoul,0-18,0.06553637144797882,0.0,0.06553637144797882
2025-12-01,Wonju,0-18,Seoul,19-49,0.03719863538383822,0.0,0.03719863538383822
2025-12-01,Wonju,0-18,Seoul,50-64,0.00679718469399322,0.0,0.00679718469399322
2025-12-01,Wonju,0-18,Seoul,65+,0.0017036264768439534,0.0,0.0017036264768439534
2025-12-01,Wonju,0-18,Wonju,0-18,2.9880729633835124,0.0,2.9880729633835124
2025-12-01,Wonju,0-18,Wonju,19-49,1.165051374221236,0.0,1.165051374221236
2025-12-01,Wonju,0-18,Wonju,50-64,0.26851178871153697,0.0,0.26851178871153697
2025-12-01,Wonju,0-18,Wonju,65+,0.060480739935812995,0.0,0.060480739935812995
2025-12-01,Wonju,19-49,Seoul,0-18,0.027598393246659116,0.0,0.027598393246659116
2025-12-01,Wonju,19-49,Seoul,19-49,0.10549499100883505,0.0,0.10549499100883505
2025-12-01,Wonju,19-49,Seoul,50-64,0.03775487523939184,0.0,0.03775487523939184
2025-12-01,Wonju,19-49,Seoul,65+,0.018132851925948285,0.0,0.018132851925948285
2025-12-01,Wonju,19-49,Wonju,0-18,1.2583243605213592,0.0,1.2583243605213592
2025-12-01,Wonju,19-49,Wonju,19-49,3.3040750817891555,0.0,3.3040750817891555
2025-12-01,Wonju,19-49,Wonju,50-64,1.491445287939403,0.0,1.491445287939403
2025-12-01,Wonju,19-49,Wonju,65+,0.6437375308110671,0.0,0.6437375308110671
2025-12-01,Wonju,50-64,Seoul,0-18,0.005921150603102808,0.0,0.005921150603102808
2025-12-01,Wonju,50-64,Seoul,19-49,0.04435873718323304,0.0,0.04435873718323304
2025-12-01,Wonju,50-64,Seoul,50-64,0.04143668361530483,0.0,0.04143668361530483
2025-12-01,Wonju,50-64,Seoul,65+,0.025299832276809056,0.0,0.025299832276809056
2025-12-01,Wonju,50-64,Wonju,0-18,0.26996963118865397,0.0,0.26996963118865397
2025-12-01,Wonju,50-64,Wonju,19-49,1.3893038596920662,0.0,1.3893038596920662
2025-12-01,Wonju,50-64,Wonju,50-64,1.6368891734914852,0.0,1.6368891734914852
2025-12-01,Wonju,50-64,Wonju,65+,0.8981737470927633,0.0,0.8981737470927633
2025-12-01,Wonju,65+,Seoul,0-18,0.0012223587419284204,0.0,0.0012223587419284204
2025-12-01,Wonju,65+,Seoul,19-49,0.017413028636398074,0.0,0.017413028636398074
2025-12-01,Wonju,65+,Seoul,50-64,0.02069655595927423,0.0,0.02069655595927423
2025-12-01,Wonju,65+,Seoul,65+,0.05426148238315627,0.0,0.05426148238315627
2025-12-01,Wonju,65+,Wonju,0-18,0.055732367044627446,0.0,0.055732367044627446
2025-12-01,Wonju,65+,Wonju,19-49,0.5453714291627882,0.0,0.5453714291627882
2025-12-01,Wonju,65+,Wonju,50-64,0.8175839720383338,0.0,0.8175839720383338
2025-12-01,Wonju,65+,Wonju,65+,1.9263463260015843,0.0,1.9263463260015843
2025-12-02,Seoul,0-18,Seoul,0-18,49.24808886596675,0.0,49.24808886596675
2025-12-02,Seoul,0-18,Seoul,19-49,27.954352835895506,0.0,27.954352835895506
2025-12-02,Seoul,0-18,Seoul,50-64,5.108004116430879,0.0,5.108004116430879
2025-12-02,Seoul,0-18,Seoul,65+,1.280253220998469,0.0,1.280253220998469
2025-12-02,Seoul,0-18,Wonju,0-18,0.06763896348392794,0.0,0.06763896348392794
2025-12-02,Seoul,0-18,Wonju,19-49,0.026373408810997173,0.0,0.026373408810997173
2025-12-02,Seoul,0-18,Wonju,50-64,0.00607833009499053,0.0,0.00607833009499053
2025-12-02,Seoul,0-18,Wonju,65+,0.00136910686466927,0.0,0.00136910686466927
2025-12-02,Seoul,19-49,Seoul,0-18,20.739142145644106,0.0,20.739142145644106
2025-12-02,Seoul,19-49,Seoul,19-49,79.2782899332344,0.0,79.2782899332344
2025-12-02,Seoul,19-49,Seoul,50-64,28.372343377483062,0.0,28.372343377483062
2025-12-02,Seoul,19-49,Seoul,65+,13.626603248788305,0.0,13.626603248788305
2025-12-02,Seoul,19-49,Wonju,0-18,0.028483827709436454,0.0,0.028483827709436454
2025-12-02,Seoul,19-49,Wonju,19-49,0.0747947470835797,0.0,0.0747947470835797
2025-12-02,Seoul,19-49,Wonju,50-64,0.03376200658531599,0.0,0.03376200658531599
2025-12-02,Seoul,19-49,Wonju,65+,0.014572332835445333,0.0,0.014572332835445333
2025-12-02,Seoul,50-64,Seoul,0-18,4.449519322592477,0.0,4.449519322592477
2025-12-02,Seoul,50-64,Seoul,19-49,33.335088176745536,0.0,33.335088176745536
2025-12-02,Seoul,50-64,Seoul,50-64,31.139178940549787,0.0,31.139178940549787
2025-12-02,Seoul,50-64,Seoul,65+,19.01249610954048,0.0,19.01249610954048
2025-12-02,Seoul,50-64,Wonju,0-18,0.0061111178507039605,0.0,0.0061111178507039605
2025-12-02,Seoul,50-64,Wonju,19-49,0.031449839436348555,0.0,0.031449839436348555
2025-12-02,Seoul,50-64,Wonju,50-64,0.0370544353867692,0.0,0.0370544353867692
2025-12-02,Seoul,50-64,Wonju,65+,0.02033202378336433,0.0,0.02033202378336433
2025-12-02,Seoul,65+,Seoul,0-18,0.9185560722776136,0.0,0.9185560722776136
2025-12-02,Seoul,65+,Seoul,19-49,13.085693639582063,0.0,13.085693639582063
2025-12-02,Seoul,65+,Seoul,50-64,15.55321766220941,0.0,15.55321766220941
2025-12-02,Seoul,65+,Seoul,65+,40.77680086651445,0.0,40.77680086651445
2025-12-02,Seoul,65+,Wonju,0-18,0.0012615754653915374,0.0,0.0012615754653915374
2025-12-02,Seoul,65+,Wonju,19-49,0.012345638976446284,0.0,0.012345638976446284
2025-12-02,Seoul,65+,Wonju,50-64,0.018507735866157064,0.0,0.018507735866157064
2025-12-02,Seoul,65+,Wonju,65+,0.04360684048274192,0.0,0.04360684048274192
2025-12-02,Wonju,0-18,Seoul,0-18,0.05242504669572787,0.0,0.05242504669572787
2025-12-02,Wonju,0-18,Seoul,19-49,0.02975766748551789,0.0,0.02975766748551789
2025-12-02,Wonju,0-18,Seoul,50-64,0.00543751768834456,0.0,0.00543751768834456
2025-12-02,Wonju,0-18,Seoul,65+,0.0013628414104731419,0.0,0.0013628414104731419
2025-12-02,Wonju,0-18,Wonju,0-18,2.390273693440099,0.0,2.390273693440099
2025-12-02,Wonju,0-18,Wonju,19-49,0.9320022371757227,0.0,0.9320022371757227
2025-12-02,Wonju,0-18,Wonju,50-64,0.21480034255039118,0.0,0.21480034255039118
2025-12-02,Wonju,0-18,Wonju,65+,0.0483824700079092,0.0,0.0483824700079092
2025-12-02,Wonju,19-49,Seoul,0-18,0.02207700888401544,0.0,0.02207700888401544
2025-12-02,Wonju,19-49,Seoul,19-49,0.08439247384845053,0.0,0.08439247384845053
2025-12-02,Wonju,19-49,Seoul,50-64,0.030202622288144635,0.0,0.030202622288144635
2025-12-02,Wonju,19-49,Seoul,65+,0.01450564535744976,0.0,0.01450564535744976
2025-12-02,Wonju,19-49,Wonju,0-18,1.0065817179254077,0.0,1.0065817179254077
2025-12-02,Wonju,19-49,Wonju,19-49,2.643149852582631,0.0,2.643149852582631
2025-12-02,Wonju,19-49,Wonju,50-64,1.1931057488456023,0.0,1.1931057488456023
2025-12-02,Wonju,19-49,Wonju,65+,0.5149674393945278,0.0,0.5149674393945278
2025-12-02,Wonju,50-64,Seoul,0-18,0.004736554526924077,0.0,0.004736554526924077
2025-12-02,Wonju,50-64,Seoul,19-49,0.035485510088083407,0.0,0.035485510088083407
2025-12-02,Wonju,50-64,Seoul,50-64,0.033147944369331266,0.0,0.033147944369331266
2025-12-02,Wonju,50-64,Seoul,65+,0.02023897818771608,0.0,0.02023897818771608
2025-12-02,Wonju,50-64,Wonju,0-18,0.21595901953052224,0.0,0.21595901953052224
2025-12-02,Wonju,50-64,Wonju,19-49,1.111396745242576,0.0,1.111396745242576
2025-12-02,Wonju,50-64,Wonju,50-64,1.3094559343937306,0.0,1.3094559343937306
2025-12-02,Wonju,50-64,Wonju,65+,0.7185074856346976,0.0,0.7185074856346976
2025-12-02,Wonju,65+,Seoul,0-18,0.000977811445899099,0.0,0.000977811445899099
2025-12-02,Wonju,65+,Seoul,19-49,0.013929842068961109,0.0,0.013929842068961109
2025-12-02,Wonju,65+,Seoul,50-64,0.016556544243356834,0.0,0.016556544243356834
2025-12-02,Wonju,65+,Seoul,65+,0.04340728216575949,0.0,0.04340728216575949
2025-12-02,Wonju,65+,Wonju,0-18,0.04458244910762675,0.0,0.04458244910762675
2025-12-02,Wonju,65+,Wonju,19-49,0.43627895157086793,0.0,0.43627895157086793
